2020 National Employment Matrix title,Typical education needed for entry,Less than high school diploma,High school diploma or equivalent,"Some college, no degree",Associates degree,Bachelors degree,Masters degree,Doctoral or professional degree
"Medical scientists, except epidemiologists(1)",Doctoral or professional degree,0.8,0.4,0.6,0.5,23.2,25.3,49.2
"Life scientists, all other(1)",Bachelors degree,0.8,0.4,0.6,0.5,23.2,25.3,49.2
Astronomers(1),Doctoral or professional degree,0.0,0.0,0.0,0.0,19.8,19.5,60.8
Physicists(1),Doctoral or professional degree,0.0,0.0,0.0,0.0,19.8,19.5,60.8
Atmospheric and space scientists,Bachelors degree,0.0,0.3,4.2,3.9,58.4,23.3,10.1
Chemists(1),Bachelors degree,0.1,1.4,2.3,1.9,51.2,22.7,20.3
Materials scientists(1),Bachelors degree,0.1,1.4,2.3,1.9,51.2,22.7,20.3
"Environmental scientists and specialists, including health",Bachelors degree,0.0,0.0,0.0,0.0,61.9,30.8,7.3
"Geoscientists, except hydrologists and geographers(1)",Bachelors degree,0.0,0.0,0.0,0.0,45.2,41.0,13.9
Hydrologists(1),Bachelors degree,0.0,0.0,0.0,0.0,45.2,41.0,13.9
"Physical scientists, all other",Bachelors degree,0.0,0.0,0.0,0.0,26.2,22.9,50.9
Economists,Masters degree,0.0,0.0,0.0,0.0,26.1,37.7,36.3
Survey researchers(1),Masters degree,0.7,1.5,6.0,4.0,32.8,38.8,16.1
"Clinical, counseling, and school psychologists(1)",Doctoral or professional degree,0.0,0.0,0.0,0.0,8.9,44.9,46.2
Industrial-organizational psychologists(1),Masters degree,0.0,0.0,0.0,0.0,8.5,39.7,51.9
"Psychologists, all other(1)",Masters degree,0.0,0.0,0.0,0.0,8.5,39.7,51.9
Sociologists(1),Masters degree,0.7,1.5,6.0,4.0,32.8,38.8,16.1
Urban and regional planners,Masters degree,0.0,0.0,0.0,0.0,43.1,52.7,4.2
Anthropologists and archeologists(1),Masters degree,0.7,1.5,6.0,4.0,32.8,38.8,16.1
Geographers(1),Bachelors degree,0.7,1.5,6.0,4.0,32.8,38.8,16.1
Historians(1),Masters degree,0.7,1.5,6.0,4.0,32.8,38.8,16.1
Political scientists(1),Masters degree,0.7,1.5,6.0,4.0,32.8,38.8,16.1
"Social scientists and related workers, all other(1)",Bachelors degree,0.7,1.5,6.0,4.0,32.8,38.8,16.1
Agricultural and food science technicians,Associates degree,9.7,24.9,21.4,15.0,22.9,4.5,1.6
Biological technicians,Bachelors degree,4.1,18.1,19.8,17.5,27.5,8.6,4.4
Chemical technicians,Associates degree,2.8,24.1,22.9,11.2,31.3,5.4,2.3
"Environmental science and protection technicians, including health(1)",Associates degree,2.3,20.6,21.4,12.5,34.0,7.8,1.5
Geological and hydrologic technicians(1),Associates degree,2.3,20.6,21.4,12.5,34.0,7.8,1.5
Nuclear technicians(1),Associates degree,2.3,20.6,21.4,12.5,34.0,7.8,1.5
Social science research assistants(1),Bachelors degree,2.9,14.5,23.5,13.7,31.1,10.9,3.5
Forest and conservation technicians(1),Associates degree,2.9,14.5,23.5,13.7,31.1,10.9,3.5
Forensic science technicians(1),Bachelors degree,2.9,14.5,23.5,13.7,31.1,10.9,3.5
"Life, physical, and social science technicians, all other(1)",Associates degree,2.8,15.2,23.2,13.5,31.5,10.5,3.2
Occupational health and safety specialists(1),Bachelors degree,1.9,16.8,19.8,9.6,35.6,14.9,1.4
Occupational health and safety technicians(1),High school diploma or equivalent,1.9,16.8,19.8,9.6,35.6,14.9,1.4
"Educational, guidance, and career counselors and advisors",Masters degree,0.8,4.1,5.0,2.3,22.1,60.5,5.2
Marriage and family therapists,Masters degree,0.6,4.1,4.6,3.9,17.0,61.8,7.9
Rehabilitation counselors,Masters degree,1.4,8.6,11.7,9.7,28.4,36.6,3.6
"Substance abuse, behavioral disorder, and mental health counselors(1)",Bachelors degree,0.9,3.7,7.7,5.5,26.1,51.8,4.3
"Counselors, all other",Masters degree,1.1,7.0,10.9,5.9,26.9,41.9,6.4
"Child, family, and school social workers",Bachelors degree,1.7,5.6,9.8,6.3,38.3,36.6,1.7
Healthcare social workers,Masters degree,3.1,12.3,16.0,8.8,27.2,30.5,2.2
Mental health and substance abuse social workers,Masters degree,0.0,1.9,3.8,0.9,12.9,75.0,5.5
"Social workers, all other",Bachelors degree,1.0,3.9,7.4,5.8,41.5,38.3,2.2
Health education specialists(1),Bachelors degree,2.1,11.3,16.2,9.2,37.2,20.2,3.7
Probation officers and correctional treatment specialists,Bachelors degree,1.1,2.6,7.9,3.8,65.1,17.6,1.8
Social and human service assistants,High school diploma or equivalent,2.2,14.1,21.5,12.0,34.6,14.0,1.6
Community health workers(1),High school diploma or equivalent,2.1,11.3,16.2,9.2,37.2,20.2,3.7
"Community and social service specialists, all other(1)",Bachelors degree,2.1,11.3,16.2,9.2,37.2,20.2,3.7
Clergy,Bachelors degree,2.2,6.1,10.6,4.9,25.6,35.4,15.1
"Directors, religious activities and education",Bachelors degree,1.5,7.7,16.8,9.0,39.9,21.2,3.9
"Religious workers, all other",Bachelors degree,2.0,14.1,19.0,9.0,32.5,19.1,4.3
Lawyers(1),Doctoral or professional degree,0.2,0.5,0.7,0.4,5.5,4.0,88.6
Judicial law clerks,Doctoral or professional degree,0.0,2.8,8.5,6.2,13.8,6.1,62.6
"Administrative law judges, adjudicators, and hearing officers(1)",Doctoral or professional degree,0.2,0.5,0.7,0.4,5.5,4.0,88.6
"Arbitrators, mediators, and conciliators(1)",Bachelors degree,0.2,0.5,0.7,0.4,5.5,4.0,88.6
"Judges, magistrate judges, and magistrates(1)",Doctoral or professional degree,0.2,0.5,0.7,0.4,5.5,4.0,88.6
Paralegals and legal assistants,Associates degree,0.7,10.6,22.8,19.6,36.0,7.2,3.1
"Title examiners, abstractors, and searchers",High school diploma or equivalent,3.1,23.1,26.8,12.1,25.0,5.8,4.2
"Legal support workers, all other",Associates degree,2.1,11.1,17.2,7.9,42.8,11.7,7.2
"Business teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Computer science teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Mathematical science teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Architecture teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Engineering teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Agricultural sciences teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Biological science teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Forestry and conservation science teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Atmospheric, earth, marine, and space sciences teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Chemistry teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Environmental science teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Physics teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Anthropology and archeology teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Area, ethnic, and cultural studies teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Economics teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Geography teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Political science teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Psychology teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Sociology teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Social sciences teachers, postsecondary, all other(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Health specialties teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Nursing instructors and teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Education teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Library science teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Criminal justice and law enforcement teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Law teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Social work teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Art, drama, and music teachers, postsecondary(1)",Masters degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
