School,white,black,hispanic,asian,aian,nhpi,tom,ntr,unk,men,women,highest_degree,ownership,over_25,admissions_rate,sat_mid_reading,sat_mid_math,sat_mid_overall,region,avg_cost_public,avg_cost_private,faculy_salary,ft_faculty_rate,federal_loan_rate,grad_students,undergrads_non_degree_seeking,booksupply_cost,test_requirements,ten_yrs_after_entry_earnings,completion_rate,region_name
Ben Franklin Career Center,0.8864,0.0909,0.0227,0.0,0.0,0.0,0.0,0.0,0.0,0.7727,0.2273,1,1,0.4545,,,,,5,8706.0,,,,0.0,,,816.0,,27754.0,0.5845,Southeast
Bluefield State College,0.8404,0.1034,0.0138,0.0024,0.0008,0.0,0.0309,0.0041,0.0041,0.3567,0.6433,3,1,0.2828,0.9447,435.0,445.0,942.0,5,8367.0,,6825.0,0.6604,0.5129,,13.0,2200.0,1.0,47975.5,0.5845,Southeast
Cabell County Career Technology Center,0.9327,0.0288,0.0096,0.0,0.0,0.0,0.0288,0.0,0.0,0.6731,0.3269,1,1,0.5,,,,,5,6110.0,,,,0.0,,,,,27754.0,0.5845,Southeast
Charleston School of Beauty Culture,0.7011,0.1609,0.023,0.0115,0.0,0.0,0.1034,0.0,0.0,0.1954,0.8046,1,3,0.4483,,,,,5,,6374.0,,,0.4851,,,,,27754.0,0.5845,Southeast
Clarksburg Beauty Academy and School of Massage Therapy,0.98,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.98,1,3,0.54,,,,,5,,9459.0,,,0.5612,,,,,27754.0,0.5845,Southeast
Fairmont State University,0.867,0.0439,0.0184,0.0041,0.0021,0.0009,0.0347,0.0249,0.0041,0.4201,0.5799,4,1,0.1886,0.8536,520.0,490.0,1035.0,5,10161.0,,6581.0,0.9112,0.5502,240.0,188.0,1000.0,1.0,47975.5,0.5845,Southeast
Glenville State College,0.7413,0.1476,0.0278,0.0043,0.0043,0.0,0.0321,0.013000000000000001,0.0295,0.5972,0.4028,3,1,0.1619,,,,,5,13714.0,,6184.0,0.6082,0.5215,,423.0,1000.0,,47975.5,0.5845,Southeast
Huntington Junior College,0.8159,0.1047,0.0036,0.0036,0.0072,0.0,0.0505,0.0,0.0144,0.2599,0.7401,2,3,0.722,,,,,5,,10380.0,2762.0,,0.6095,,,0.0,,36066.0,0.5845,Southeast
James Rumsey Technical Institute,0.8544,0.068,0.0,0.0097,0.0097,0.0,0.0583,0.0,0.0,0.6602,0.3398,1,1,0.3689,,,,,5,11610.0,,,,0.0,,,,,27754.0,0.5845,Southeast
Ralph R Willis Career and Technical Center,0.9535,0.0233,0.0,0.0,0.0,0.0,0.0233,0.0,0.0,0.09300000000000001,0.907,1,1,0.4651,,,,,5,2073.0,,,,0.0,,,,,27754.0,0.5845,Southeast
Mercer County Technical Education Center,0.9540000000000001,0.0345,0.0,0.0,0.0,0.0,0.0115,0.0,0.0,0.4713,0.5287,1,1,0.4713,0.8043,,,,5,348.0,,,,0.0,,,,3.0,27754.0,0.5845,Southeast
Monongalia County Technical Education Center,0.96,0.0267,0.0,0.0133,0.0,0.0,0.0,0.0,0.0,0.24,0.76,1,1,0.56,0.7368,,,,5,5794.0,,,,0.0,,,,3.0,27754.0,0.5845,Southeast
Morgantown Beauty College Inc,0.7826,0.057999999999999996,0.028999999999999998,0.028999999999999998,0.0,0.0,0.0435,0.0,0.057999999999999996,0.087,0.9129999999999999,1,3,0.2029,,,,,5,,8319.0,,,0.5615,,,,,27754.0,0.5845,Southeast
Mountain State College,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2381,0.7619,2,3,0.8095,0.75,,,,5,,18002.0,2500.0,,0.0435,,,1630.0,3.0,36066.0,0.5845,Southeast
Ohio Valley University,0.6071,0.05,0.0357,0.0036,0.0071,0.0,0.0214,0.1786,0.0964,0.5536,0.4464,4,2,0.102,0.6928,530.0,515.0,1048.0,5,,17988.0,4550.0,0.2167,0.5073,14.0,24.0,1000.0,5.0,47975.5,0.5845,Southeast
West Virginia University at Parkersburg,0.9176,0.0178,0.0056,0.0067,0.0011,0.0011,0.0412,0.0,0.0089,0.3484,0.6516,3,1,0.2445,,,,,5,6342.0,,5947.0,1.0,0.2555,,1021.0,1500.0,,36066.0,0.5845,Southeast
Potomac State College of West Virginia University,0.7962,0.079,0.0343,0.0067,0.001,0.001,0.0562,0.0086,0.0171,0.4781,0.5219,3,1,0.0777,,,,,5,8635.0,,6299.0,0.7105,0.45899999999999996,,250.0,950.0,,36066.0,0.5845,Southeast
Academy of Careers and Technology,0.8174,0.1565,0.0,0.0,0.0,0.0,0.0261,0.0,0.0,0.3304,0.6696,1,1,0.4783,,,,,5,3623.0,,,,0.0,,,,,27754.0,0.5845,Southeast
Shepherd University,0.7522,0.0829,0.0669,0.0144,0.0038,0.0008,0.0422,0.0125,0.0243,0.4139,0.5861,4,1,0.2459,0.9628,545.0,525.0,1088.0,5,11021.0,,7186.0,0.5657,0.4516,354.0,569.0,1000.0,1.0,47975.5,0.5845,Southeast
Southern West Virginia Community and Technical College,0.9838,0.0088,0.0,0.0015,0.0,0.0,0.0059,0.0,0.0,0.3365,0.6635,2,1,0.2664,,,,,5,5881.0,,4883.0,0.6988,0.2421,,91.0,1800.0,,36066.0,0.5845,Southeast
Fred W Eberle Technical Center,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6983,0.3017,1,1,0.3707,,,,,5,4437.0,,,,0.0,,,,,27754.0,0.5845,Southeast
West Virginia School of Osteopathic Medicine,,,,,,,,,,,,4,1,,,,,,5,,,,,,809.0,,,,,0.5845,Southeast
West Virginia State University,0.6847,0.1479,0.0195,0.0073,0.011000000000000001,0.0018,0.0736,0.0243,0.0298,0.4358,0.5642,4,1,0.11199999999999999,0.9536,490.0,475.0,1010.0,5,14408.0,,5883.0,0.6306,0.3234,111.0,2366.0,1701.0,1.0,47975.5,0.5845,Southeast
West Virginia University Hospital Departments of Rad Tech and Nutrition,0.9825,0.0175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1228,0.8772,1,2,0.3684,,,,,5,,,,,0.2041,7.0,,,,27754.0,0.5845,Southeast
West Liberty University,0.7594,0.0299,0.0077,0.0067,0.0005,0.0005,0.0191,0.0237,0.1525,0.3653,0.6347,4,1,0.076,0.7064,,,1070.0,5,13793.0,,6882.0,0.6561,0.5653,313.0,242.0,1645.0,1.0,47975.5,0.5845,Southeast
West Virginia University Institute of Technology,0.7409,0.047,0.0281,0.0083,0.0017,0.0008,0.066,0.0611,0.0462,0.5759,0.4241,3,1,0.0753,0.5108,520.0,510.0,1055.0,5,10569.0,,7520.0,0.7039,0.3499,,582.0,950.0,1.0,47975.5,0.5845,Southeast
West Virginia Wesleyan College,0.752,0.0981,0.0375,0.0045,0.0045,0.0,0.0437,0.0571,0.0027,0.446,0.5539999999999999,4,2,0.0203,0.6415,525.0,505.0,1053.0,5,,18182.0,5932.0,0.5593,0.6669,95.0,10.0,2500.0,1.0,47975.5,0.5845,Southeast
West Virginia Junior College-Charleston,0.8492,0.1285,0.0,0.0056,0.0,0.0,0.0168,0.0,0.0,0.1788,0.8212,2,3,0.4134,,,,,5,,12125.0,4200.0,,0.8651,,,380.0,,36066.0,0.5845,Southeast
West Virginia Junior College-Morgantown,0.9224,0.0582,0.0035,0.0053,0.0035,0.0,0.0071,0.0,0.0,0.157,0.843,2,3,0.6173,,,,,5,,16343.0,4922.0,,0.7556,,,384.0,,36066.0,0.5845,Southeast
West Virginia Northern Community College,0.9093,0.0225,0.0159,0.0037,0.0047,0.0,0.0355,0.0037,0.0047,0.3302,0.6698,2,1,0.3166,,,,,5,4524.0,,5889.0,0.4414,0.2252,,283.0,1135.0,,36066.0,0.5845,Southeast
Wheeling University,0.6407,0.1692,0.0133,0.0114,0.0171,0.0,0.0057,0.0,0.1426,0.4943,0.5057,4,2,0.1278,0.6825,505.0,515.0,1037.0,5,,19496.0,6762.0,0.2426,0.6818,266.0,6.0,1300.0,1.0,47975.5,0.5845,Southeast
Wood County School of Practical Nursing,0.9474,0.0526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526,0.9474,1,1,0.6842,,,,,5,5521.0,,,,0.0,,,,3.0,27754.0,0.5845,Southeast
VICI Beauty School,0.6,0.075,0.1583,0.0583,0.0167,0.0,0.0917,0.0,0.0,0.025,0.975,1,3,0.1833,,,,,3,,9534.0,,,0.5028,,,,,27754.0,0.5845,Great Lakes
Alverno College,0.428,0.1357,0.3254,0.0458,0.0073,0.0,0.0532,0.0037,0.0009,0.0082,0.9918,4,2,0.2507,0.6937,,,,3,,15491.0,5981.0,0.3697,0.7933,639.0,14.0,768.0,2.0,47975.5,0.5845,Great Lakes
Madison Area Technical College,0.6601,0.0729,0.1258,0.0509,0.004,0.0003,0.0503,0.015,0.0209,0.4183,0.5817,4,1,0.3118,,,,,3,9904.0,,10674.0,0.3456,0.225,46.0,3884.0,2016.0,,27754.0,0.5845,Great Lakes
Beloit College,0.5033,0.0739,0.1319,0.0365,0.0019,0.0037,0.0374,0.1843,0.0271,0.4621,0.5379,3,2,0.0114,0.6205,615.0,615.0,1257.0,3,,11433.0,6892.0,0.8596,0.5557,,74.0,1000.0,5.0,47975.5,0.5845,Great Lakes
Blackhawk Technical College,0.7228,0.07,0.1474,0.0134,0.0051,0.0,0.0297,0.0,0.0116,0.3523,0.6477,2,1,0.4617,,,,,3,8760.0,,7484.0,1.0,0.3568,,100.0,1784.0,,27754.0,0.5845,Great Lakes
Cardinal Stritch University,0.3648,0.1957,0.1895,0.0277,0.0041,0.0051,0.0277,0.1814,0.0041,0.3268,0.6732,4,2,0.2604,0.8149,515.0,540.0,1052.0,3,,18156.0,5015.0,0.3761,0.5381,648.0,272.0,700.0,1.0,47975.5,0.5845,Great Lakes
