School,white,black,hispanic,asian,aian,nhpi,tom,ntr,unk,men,women,highest_degree,ownership,over_25,admissions_rate,sat_mid_reading,sat_mid_math,sat_mid_overall,region,avg_cost_public,avg_cost_private,faculy_salary,ft_faculty_rate,federal_loan_rate,grad_students,undergrads_non_degree_seeking,booksupply_cost,test_requirements,ten_yrs_after_entry_earnings,completion_rate,region_name
Lindsey Hopkins Technical College,0.2411,0.5131,0.1437,0.0,0.0062,0.0031,0.0062,0.0866,0.0,0.5966,0.4034,1,1,0.45899999999999996,,,,,5,5934.0,,,,0.0,,,,,27754.0,0.5845,Southeast
State College of Florida-Manatee-Sarasota,0.5909,0.1033,0.2088,0.0246,0.0035,0.0012,0.0304,0.0215,0.0158,0.3809,0.6191,3,1,0.299,,,,,5,11372.0,,6753.0,0.3293,0.1173,,1490.0,1500.0,,36066.0,0.5845,Southeast
Manatee Technical College,0.4713,0.1043,0.366,0.0088,0.0009,0.0,0.0486,0.0,0.0,0.5553,0.4447,1,1,0.4103,,,,,5,3541.0,,,,0.0,,,,,27754.0,0.5845,Southeast
Traviss Technical College,0.5169,0.152,0.0169,0.0101,0.0169,0.0,0.2872,0.0,0.0,0.6419,0.3581,1,1,0.7872,,,,,5,7600.0,,,,0.0,,,500.0,,27754.0,0.5845,Southeast
Merryfield School of Pet Grooming,0.3239,0.1549,0.4507,0.0,0.0,0.0,0.0,0.0563,0.0141,0.1972,0.8028,1,3,0.8169,,,,,5,,20161.0,,,0.2818,,,,,27754.0,0.5845,Southeast
Trinity International University-Florida,0.4296,0.1778,0.3407,0.0148,0.0,0.0,0.0,0.0,0.037000000000000005,0.4222,0.5778,4,2,0.8603,,,,,5,,16383.0,7029.0,,0.7222,74.0,1.0,1080.0,,47975.5,0.5845,Southeast
Miami Lakes Educational Center and Technical College,0.1621,0.4012,0.4111,0.0069,0.0049,0.001,0.0128,0.0,0.0,0.8538,0.1462,1,1,0.6759,,,,,5,3507.0,,,,0.0,,,,,27754.0,0.5845,Southeast
Miami Dade College,0.0477,0.1405,0.711,0.0092,0.0008,0.0006,0.0081,0.0644,0.0177,0.4304,0.5696,3,1,0.2706,,,,,5,4842.0,,7551.0,0.2001,0.0582,,5201.0,1500.0,,36066.0,0.5845,Southeast
Paul Mitchell the School-Jacksonville,0.5059,0.3706,0.0941,0.0059,0.0,0.0118,0.0118,0.0,0.0,0.0353,0.9647,1,3,0.4529,,,,,5,,16540.0,,,0.6471,,,,,27754.0,0.5845,Southeast
University of North Florida,0.6377,0.0926,0.1388,0.0548,0.0017,0.0012,0.0524,0.0164,0.0044,0.4327,0.5673,4,1,0.1657,0.7228,600.0,575.0,1159.0,5,9606.0,,7953.0,0.9756,0.3181,2383.0,329.0,1200.0,1.0,47975.5,0.5845,Southeast
Nova Southeastern University,0.2727,0.1355,0.3604,0.1064,0.0025,0.0014,0.0322,0.0507,0.0381,0.2855,0.7145,4,2,0.1435,0.8009999999999999,595.0,580.0,1178.0,5,,23905.0,9848.0,0.4657,0.4947,14910.0,48.0,1728.0,1.0,47975.5,0.5845,Southeast
Northwest Florida State College,0.6608,0.0934,0.10300000000000001,0.0296,0.0051,0.0065,0.0735,0.0113,0.0169,0.3783,0.6217,3,1,0.3256,,,,,5,6240.0,,5673.0,0.3372,0.1602,,1472.0,1440.0,,36066.0,0.5845,Southeast
Orange Technical College-Orlando Campus,0.2191,0.4607,0.2753,0.0281,0.0,0.0,0.0169,0.0,0.0,0.1966,0.8034,1,1,0.0865,,,,,5,10998.0,,,,0.0,,724.0,,,27754.0,0.5845,Southeast
Palm Beach Atlantic University,0.6073,0.1035,0.149,0.0181,0.0017,0.0029,0.0366,0.0358,0.045,0.3455,0.6545,4,2,0.1096,0.9544,560.0,530.0,1111.0,5,,25887.0,7811.0,1.0,0.4539,808.0,507.0,1066.0,1.0,47975.5,0.5845,Southeast
Palm Beach State College,0.2864,0.2826,0.32299999999999995,0.0233,0.0017,0.0018,0.026000000000000002,0.0192,0.0359,0.4185,0.5815,3,1,0.3098,,,,,5,2651.0,,6136.0,0.3166,0.0778,,4259.0,2700.0,,36066.0,0.5845,Southeast
Pasco-Hernando State College,0.6068,0.0708,0.2275,0.0272,0.0031,0.0014,0.0375,0.0033,0.0223,0.3913,0.6087,3,1,0.2382,,,,,5,4923.0,,5914.0,0.355,0.11599999999999999,,2579.0,1520.0,,36066.0,0.5845,Southeast
Pensacola State College,0.6212,0.1767,0.0802,0.0299,0.0062,0.0045,0.0619,0.0065,0.013000000000000001,0.3601,0.6399,3,1,0.344,,,,,5,3110.0,,5248.0,0.3634,0.069,,2118.0,900.0,,36066.0,0.5845,Southeast
Pinellas Technical College-Clearwater,0.6331,0.1533,0.1424,0.0248,0.0031,0.0031,0.0294,0.0108,0.0,0.6765,0.3235,1,1,0.5341,,,,,5,10182.0,,,,0.0,,,,,27754.0,0.5845,Southeast
Polk State College,0.4648,0.1771,0.2658,0.0232,0.003,0.0016,0.0385,0.0136,0.0124,0.3399,0.6601,3,1,0.2918,,,,,5,9740.0,,6270.0,0.4397,0.1426,,2534.0,2000.0,,36066.0,0.5845,Southeast
Radford M Locklin Technical College,0.8226,0.0673,0.0428,0.0061,0.0092,0.0031,0.0489,0.0,0.0,0.7125,0.2875,1,1,0.1923,,,,,5,8121.0,,,,0.0,,245.0,,,27754.0,0.5845,Southeast
Saint Vincent de Paul Regional Seminary,,,,,,,,,,,,4,2,,,,,,5,,,6457.0,0.6765,,131.0,,,,,0.5845,Southeast
Midwest Technical Institute-Ridgeland,0.1243,0.8389,0.0263,0.0018,0.0035,0.0,0.0053,0.0,0.0,0.3923,0.6077,1,3,0.4361,,,,,5,,26185.0,,,0.871,,,,,27754.0,0.5845,Southeast
Ringling College of Art and Design,0.4755,0.0363,0.1525,0.0944,0.0036,0.0006,0.0405,0.17300000000000001,0.0236,0.3037,0.6963,3,2,0.0579,0.6386,,,,5,,49649.0,8715.0,0.6977,0.5099,,5.0,2700.0,3.0,47975.5,0.5845,Southeast
Robert Morgan Educational Center and Technical College,0.1265,0.2451,0.6031,0.0175,0.0,0.0078,0.0,0.0,0.0,0.5973,0.4027,1,1,0.39299999999999996,,,,,5,12147.0,,,,0.0,,,,,27754.0,0.5845,Southeast
Rollins College,0.5431,0.0477,0.2028,0.0331,0.0008,0.0015,0.042,0.0947,0.0343,0.39799999999999996,0.602,4,2,0.0874,0.5834,,,,5,,29806.0,9229.0,1.0,0.2975,529.0,,716.0,2.0,47975.5,0.5845,Southeast
First Coast Technical College,0.7339,0.1747,0.0618,0.0134,0.0054,0.0,0.0027,0.0,0.0081,0.4812,0.5188,1,1,0.379,,,,,5,13294.0,,,,0.0,,,,,27754.0,0.5845,Southeast
Saint Leo University,0.3275,0.2897,0.1474,0.0148,0.0036,0.001,0.0142,0.0443,0.1575,0.3955,0.6045,4,2,0.6074,0.7209,,,,5,,18869.0,8358.0,0.2148,0.4982,3069.0,148.0,1056.0,5.0,47975.5,0.5845,Southeast
St Petersburg College,0.589,0.1443,0.1631,0.0379,0.0034,0.0026,0.0361,0.0075,0.0161,0.3763,0.6237,3,1,0.4644,,,,,5,3226.0,,6793.0,0.2317,0.247,,4945.0,1600.0,,36066.0,0.5845,Southeast
Pinellas Technical College-St. Petersburg,0.4394,0.3612,0.1253,0.0337,0.0,0.0,0.027000000000000003,0.0135,0.0,0.5512,0.4488,1,1,0.5121,,,,,5,7301.0,,,,0.0,,,,,27754.0,0.5845,Southeast
Suncoast Technical College,0.7017,0.1116,0.1609,0.0064,0.0021,0.0,0.0043,0.0129,0.0,0.5858,0.4142,1,1,0.2081,,,,,5,9239.0,,,,0.0,,572.0,,,27754.0,0.5845,Southeast
Seminole State College of Florida,0.4458,0.1584,0.2786,0.0302,0.0022,0.0025,0.0393,0.0241,0.019,0.43200000000000005,0.568,3,1,0.3502,,,,,5,8326.0,,6698.0,0.2957,0.18,,2402.0,1430.0,,27754.0,0.5845,Southeast
Sheridan Technical College,0.15,0.5264,0.2772,0.0189,0.0059,0.002,0.0196,0.0,0.0,0.5512,0.4488,1,1,0.5008,,,,,5,11394.0,,,,0.0,,300.0,,,27754.0,0.5845,Southeast
St. John Vianney College Seminary,0.3478,0.0,0.2391,0.0,0.0,0.0217,0.0,0.3478,0.0435,0.9783,0.0217,4,2,0.1739,1.0,,,,5,,29711.0,4185.0,0.4848,0.0,22.0,,800.0,3.0,47975.5,0.5845,Southeast
Saint Johns River State College,0.6751,0.1013,0.1233,0.0205,0.0038,0.0021,0.0466,0.0026,0.0246,0.3711,0.6289,3,1,0.2213,,,,,5,5035.0,,5008.0,0.3512,0.0856,,2714.0,1354.0,,36066.0,0.5845,Southeast
University of South Florida-St Petersburg,0.6252,0.0735,0.1835,0.0388,0.0034,0.0018,0.0375,0.0071,0.0291,0.3601,0.6399,4,1,0.2759,0.2739,620.0,588.0,1225.0,5,10406.0,,9630.0,0.5719,0.3689,555.0,83.0,1100.0,1.0,47975.5,0.5845,Southeast
Thomas Edison State University,0.5032,0.1349,0.1218,0.0447,0.0043,0.0057,0.0266,0.0082,0.1505,0.5931,0.4069,4,1,0.872,,,,,2,,,,,0.2015,683.0,290.0,1700.0,,47975.5,0.5845,Mid East
Stetson University,0.5815,0.0823,0.1844,0.0211,0.0013,0.0006,0.0542,0.0606,0.013999999999999999,0.4303,0.5697,4,2,0.021,0.7236,,,,5,,23568.0,10197.0,0.6714,0.5063,1246.0,48.0,1200.0,2.0,47975.5,0.5845,Southeast
Southeastern Louisiana University,0.6347,0.2189,0.0684,0.008,0.0024,0.0008,0.043,0.0147,0.0091,0.3726,0.6274,4,1,0.0935,0.9021,,,1105.0,5,12171.0,,6774.0,0.8186,0.4242,963.0,2196.0,1300.0,1.0,47975.5,0.5845,Southeast
Bene's Career Academy,0.625,0.0982,0.1994,0.0089,0.003,0.0,0.0446,0.0,0.0208,0.2173,0.7827,1,3,0.6071,,,,,5,,21378.0,,,0.7118,,,,,27754.0,0.5845,Southeast
Riveroak Technical College,0.7814,0.1311,0.0874,0.0,0.0,0.0,0.0,0.0,0.0,0.3224,0.6776,1,1,0.2951,,,,,5,14649.0,,,,0.0,,,,,27754.0,0.5845,Southeast
Tallahassee Community College,0.4623,0.3203,0.1357,0.0148,0.0022,0.001,0.0365,0.0106,0.0166,0.45899999999999996,0.541,3,1,0.1843,,,,,5,4048.0,,6126.0,0.2709,0.2495,,1329.0,800.0,,36066.0,0.5845,Southeast
Talmudic College of Florida,0.7742,0.0,0.0,0.0,0.0,0.0,0.0,0.2258,0.0,1.0,0.0,4,2,0.0968,,,,,5,,17150.0,2943.0,1.0,0.0,1.0,,900.0,,47975.5,0.5845,Southeast
Altierus Career College-Tampa,0.2603,0.2685,0.4,0.0137,0.0027,0.0027,0.0274,0.0,0.0247,0.5397,0.4603,3,2,0.6712,,,,,5,,21891.0,4499.0,1.0,0.8045,,,0.0,,27754.0,0.5845,Southeast
The University of Tampa,0.6097,0.042,0.1248,0.0172,0.001,0.0013,0.0299,0.0803,0.0938,0.4154,0.5846,4,2,0.035,0.4475,590.0,585.0,1194.0,5,,30990.0,9487.0,1.0,0.5131,931.0,12.0,1500.0,1.0,47975.5,0.5845,Southeast
Big Bend Technical College,0.7364,0.2273,0.0091,0.0,0.0091,0.0,0.0182,0.0,0.0,0.5455,0.4545,1,1,0.1713,,,,,5,,,,,0.0,,71.0,,,27754.0,0.5845,Southeast
Tom P Haney Technical Center,0.7086,0.1704,0.0716,0.0148,0.0049,0.0,0.0272,0.0025,0.0,0.5531,0.4469,1,1,0.4741,,,,,5,7178.0,,,,0.0,,,,,27754.0,0.5845,Southeast
Trinity Baptist College,0.6019,0.2104,0.1133,0.0162,0.0,0.0,0.0356,0.0162,0.0065,0.589,0.41100000000000003,4,2,0.1557,0.6855,488.0,488.0,994.0,5,,15717.0,3354.0,1.0,0.6608,10.0,25.0,1212.0,1.0,47975.5,0.5845,Southeast
Trinity College of Florida,0.4502,0.2275,0.1848,0.0237,0.0095,0.0,0.0,0.0142,0.09,0.4882,0.5118,3,2,0.5045,0.8220000000000001,465.0,460.0,939.0,5,,15894.0,4222.0,0.6071,0.6878,,9.0,1450.0,1.0,47975.5,0.5845,Southeast
Valencia College,0.2467,0.1731,0.3968,0.0393,0.0025,0.003,0.0266,0.0508,0.0611,0.424,0.5760000000000001,3,1,0.2508,,,,,5,5205.0,,6662.0,0.3018,0.1385,,8798.0,1266.0,,36066.0,0.5845,Southeast
Warner Pacific University Professional and Graduate Studies,0.5379999999999999,0.152,0.1155,0.0578,0.0182,0.0091,0.0213,0.003,0.0851,0.2675,0.7325,4,2,0.9271,,,,,8,,,,,0.4984,88.0,,1680.0,,47975.5,0.5845,Far West
Florida Panhandle Technical College,0.7355,0.2035,0.0262,0.0087,0.0233,0.0029,0.0,0.0,0.0,0.561,0.439,1,1,0.436,,,,,5,15181.0,,,,0.0,,,,,27754.0,0.5845,Southeast
Webber International University,0.3855,0.3102,0.1205,0.003,0.0105,0.009000000000000001,0.0226,0.1386,0.0,0.6883,0.3117,4,2,0.0406,0.4225,495.0,480.0,977.0,5,,24479.0,4615.0,0.5227,0.6579999999999999,70.0,1.0,1304.0,1.0,47975.5,0.5845,Southeast
Rasmussen University-Florida,0.4234,0.1891,0.1374,0.0255,0.0,0.0026,0.0245,0.0,0.1974,0.1491,0.8509,4,3,0.789,,,,,5,,19144.0,6479.0,0.1105,0.7716,36.0,4.0,180.0,,36066.0,0.5845,Southeast
The University of West Florida,0.6579999999999999,0.1115,0.0979,0.0319,0.0057,0.0027,0.0591,0.0191,0.013999999999999999,0.4372,0.5628,4,1,0.2888,0.31,595.0,575.0,1198.0,5,7406.0,,8793.0,1.0,0.6411,3036.0,322.0,1600.0,1.0,47975.5,0.5845,Southeast
Orange Technical College-Westside Campus,0.3393,0.3112,0.2908,0.0281,0.0026,0.0077,0.0026,0.0,0.0179,0.5918,0.4082,1,1,0.1136,,,,,5,8783.0,,,,0.0,,1043.0,,,27754.0,0.5845,Southeast
William T McFatter Technical College,0.2589,0.3439,0.3388,0.0279,0.0025,0.0038,0.0241,0.0,0.0,0.6294,0.3706,1,1,0.3705,,,,,5,11983.0,,,,0.0,,386.0,,,27754.0,0.5845,Southeast
Orange Technical College-Winter Park Campus,0.2456,0.2456,0.4408,0.0385,0.0,0.0148,0.0089,0.0,0.0059,0.4793,0.5207,1,1,0.0798,,,,,5,23031.0,,,,0.0,,1417.0,,,27754.0,0.5845,Southeast
Withlacoochee Technical College,0.7707,0.0526,0.0301,0.0188,0.0075,0.0,0.1203,0.0,0.0,0.5977,0.4023,1,1,0.4286,,,,,5,6225.0,,,,0.0,,,,,27754.0,0.5845,Southeast
Abraham Baldwin Agricultural College,0.7874,0.1049,0.0727,0.0075,0.004,0.0006,0.0121,0.0109,0.0,0.4239,0.5761,3,1,0.1263,0.7342,525.0,500.0,1029.0,5,6933.0,,5728.0,0.7594,0.3496,,447.0,900.0,1.0,36066.0,0.5845,Southeast
Agnes Scott College,0.3121,0.3214,0.1386,0.077,0.0021,0.0031,0.0616,0.0565,0.0277,0.0,1.0,3,2,0.0129,0.6482,,,,5,,20503.0,9178.0,0.7192,0.5693,62.0,31.0,1000.0,2.0,47975.5,0.5845,Southeast
Interactive College of Technology-Chamblee,0.1338,0.5176,0.2447,0.1039,0.0,0.0,0.0,0.0,0.0,0.6479,0.3521,2,3,0.7887,,,,,5,,14413.0,3516.0,0.2381,0.6301,,,1800.0,,27754.0,0.5845,Southeast
Interactive College of Technology-Morrow,0.0198,0.8317,0.099,0.0495,0.0,0.0,0.0,0.0,0.0,0.396,0.604,2,3,0.7426,,,,,5,,12857.0,3494.0,,0.6875,,,1800.0,,27754.0,0.5845,Southeast
Albany Technical College,0.1975,0.7619,0.0189,0.0016,0.0028,0.0004,0.0154,0.0016,0.0,0.2948,0.7052,2,1,0.439,,,,,5,420.0,,4374.0,0.315,0.4703,,748.0,800.0,,27754.0,0.5845,Southeast
Albany State University,0.1215,0.7594,0.0526,0.0031,0.0024,0.0002,0.0201,0.0074,0.0332,0.2681,0.7319,4,1,0.1961,0.6568,420.0,395.0,849.0,5,12992.0,,5954.0,0.7538,0.6531,344.0,363.0,1440.0,5.0,36066.0,0.5845,Southeast
Andrew College,0.308,0.5848,0.0657,0.0069,0.0035,0.0035,0.0277,0.0,0.0,0.4325,0.5675,2,2,0.2215,0.414,465.0,440.0,913.0,5,,18938.0,5037.0,0.7368,0.75,,,1500.0,1.0,36066.0,0.5845,Southeast
The Art Institute of Atlanta,0.1109,0.6465,0.1394,0.0143,0.0077,0.0066,0.0,0.0165,0.0582,0.5236,0.4764,3,3,0.4092,,,,,5,,23051.0,5270.0,0.1158,0.618,,3.0,600.0,,47975.5,0.5845,Southeast
Georgia Career Institute,0.3147,0.6494,0.0279,0.008,0.0,0.0,0.0,0.0,0.0,0.0259,0.9741,1,3,0.4582,,,,,5,,11458.0,,,0.5673,,,,,27754.0,0.5845,Southeast
Atlanta Technical College,0.0268,0.8728,0.0489,0.012,0.0009,0.0023,0.0205,0.0137,0.0023,0.3614,0.6386,2,1,0.5781,,,,,5,-157.0,,4372.0,0.3639,0.5121,,283.0,1300.0,,27754.0,0.5845,Southeast
South University-High Point,,,,,,,,,,,,4,3,,,,,,5,,,,,,5.0,,,,47975.5,0.5845,Southeast
Atlanta Metropolitan State College,0.0172,0.8958,0.0423,0.0067,0.0,0.0,0.0214,0.0067,0.0098,0.348,0.652,3,1,0.3563,,,,,5,4985.0,,5098.0,0.6778,0.2666,,212.0,1440.0,,36066.0,0.5845,Southeast
Atlanta's John Marshall Law School,,,,,,,,,,,,4,3,,,,,,5,,,8281.0,0.5,,279.0,,,,,0.5845,Southeast
Atlanta School of Massage,0.2795,0.5589,0.0466,0.0164,0.0027,0.0,0.0932,0.0,0.0027,0.1068,0.8932,1,3,0.737,,,,,5,,25330.0,,,0.5037,,,,,27754.0,0.5845,Southeast
Clark Atlanta University,0.0012,0.9221,0.0018,0.0012,0.0021,0.0,0.0,0.0254,0.0462,0.2422,0.7578,4,2,0.0368,0.5482,515.0,495.0,1006.0,5,,34263.0,7813.0,0.5934,0.8511,602.0,7.0,1500.0,1.0,47975.5,0.5845,Southeast
Augusta Technical College,0.4125,0.4641,0.0511,0.0153,0.0025,0.0014,0.0339,0.0014,0.018000000000000002,0.4461,0.5539,2,1,0.4508,,,,,5,9842.0,,5256.0,0.5101,0.0,,574.0,2000.0,,27754.0,0.5845,Southeast
Berry College,0.7805,0.0709,0.0678,0.0219,0.0036,0.0,0.0396,0.0104,0.0052,0.3926,0.6074,4,2,0.0118,0.7059,615.0,590.0,1245.0,5,,23014.0,8463.0,0.7907,0.501,91.0,25.0,1000.0,1.0,47975.5,0.5845,Southeast
Beulah Heights University,0.1097,0.654,0.0338,0.09699999999999999,0.0,0.0,0.0,0.0,0.1055,0.557,0.44299999999999995,4,2,0.9156,,,,,5,,11746.0,4424.0,0.1143,0.5846,162.0,,1000.0,,47975.5,0.5845,Southeast
Brenau University,0.4554,0.287,0.1144,0.0204,0.0048,0.0,0.0162,0.0659,0.0359,0.0911,0.9089,4,2,0.439,0.5752,525.0,505.0,1038.0,5,,21745.0,7185.0,0.5123,0.6881,1063.0,85.0,1300.0,5.0,47975.5,0.5845,Southeast
Brewton-Parker College,0.5173,0.3483,0.0468,0.0061,0.0061,0.0163,0.0061,0.0041,0.0489,0.6049,0.3951,3,2,0.0664,0.9624,490.0,475.0,970.0,5,,18710.0,4799.0,1.0,0.4613,,397.0,1500.0,5.0,47975.5,0.5845,Southeast
College of Coastal Georgia,0.6295,0.209,0.0694,0.0155,0.003,0.002,0.0446,0.0116,0.0155,0.3052,0.6948,3,1,0.2306,0.8717,520.0,485.0,1011.0,5,12990.0,,6230.0,0.6793,0.3429,,507.0,1750.0,1.0,36066.0,0.5845,Southeast
West Georgia Technical College,0.5493,0.3312,0.0727,0.0096,0.0033,0.0004,0.0285,0.0021,0.0029,0.3212,0.6788,2,1,0.3159,,,,,5,1665.0,,4389.0,0.34700000000000003,0.1278,,1887.0,1170.0,,27754.0,0.5845,Southeast
Clayton  State University,0.1297,0.6644,0.0779,0.0565,0.0013,0.0009,0.0328,0.0172,0.0193,0.2936,0.7064,4,1,0.3326,0.5114,,,,5,10918.0,,6592.0,0.6432,0.4986,511.0,915.0,2074.0,2.0,47975.5,0.5845,Southeast
Columbia Theological Seminary,,,,,,,,,,,,4,2,,,,,,5,,,6620.0,1.0,,160.0,,,,,0.5845,Southeast
Columbus Technical College,0.3861,0.4734,0.0662,0.0123,0.0049,0.0053,0.031,0.0042,0.0166,0.3089,0.6911,2,1,0.4325,,,,,5,4253.0,,4511.0,0.4123,0.0,,650.0,1465.0,,27754.0,0.5845,Southeast
Columbus State University,0.473,0.4016,0.0687,0.0252,0.0034,0.0016,0.0147,0.0118,0.0,0.3971,0.6029,4,1,0.2697,0.7942,505.0,475.0,1009.0,5,12058.0,,6979.0,0.6306,0.5498,1376.0,313.0,1350.0,1.0,47975.5,0.5845,Southeast
Georgia Northwestern Technical College,0.6941,0.0806,0.182,0.0064,0.0044,0.001,0.0241,0.0069,0.0005,0.3661,0.6339,2,1,0.2852,,,,,5,2148.0,,4913.0,,0.0721,,2549.0,1500.0,,27754.0,0.5845,Southeast
Covenant College,0.8418,0.0265,0.0133,0.0111,0.0077,0.0011,0.0531,0.0321,0.0133,0.4701,0.5299,4,2,0.0085,0.9822,625.0,590.0,1233.0,5,,23413.0,7541.0,0.9861,0.488,43.0,42.0,1170.0,1.0,47975.5,0.5845,Southeast
Dalton State College,0.5763,0.0389,0.313,0.0171,0.0059,0.0009,0.0088,0.018000000000000002,0.0211,0.4013,0.5987,3,1,0.17,,,,,5,6543.0,,5891.0,0.6407,0.1936,,411.0,1350.0,,47975.5,0.5845,Southeast
Pro Way Hair School,0.0066,0.9868,0.0,0.0,0.0,0.0,0.0,0.0066,0.0,0.4636,0.5364,1,3,0.5364,,,,,5,,12692.0,,,0.9740000000000001,,,,,27754.0,0.5845,Southeast
South University-Savannah,0.4369,0.4096,0.099,0.0273,0.0068,0.0,0.0,0.0,0.0205,0.3345,0.6655,4,3,0.7415,,,,,5,,16989.0,8854.0,0.4602,0.5427,594.0,1.0,1500.0,,47975.5,0.5845,Southeast
East Georgia State College,0.3925,0.4965,0.0518,0.0079,0.0046,0.0004,0.0356,0.0029,0.0079,0.405,0.595,3,1,0.0748,,,,,5,8874.0,,5120.0,0.6357,0.396,,326.0,1258.0,,36066.0,0.5845,Southeast
Emmanuel College,0.6126,0.1646,0.0714,0.0024,0.0073,0.0073,0.0448,0.0896,0.0,0.5375,0.4625,3,2,0.0282,0.4615,515.0,505.0,1018.0,5,,18351.0,5045.0,0.6375,0.5696,,132.0,1200.0,1.0,47975.5,0.5845,Southeast
Emory University,0.3921,0.0816,0.1068,0.2152,0.0006,0.0006,0.0417,0.1521,0.0094,0.4025,0.5975,4,2,0.0413,0.156,705.0,740.0,1453.0,5,,23734.0,14417.0,0.7633,0.3014,7297.0,95.0,1224.0,1.0,47975.5,0.5845,Southeast
Georgia Highlands College,0.6077,0.1639,0.1563,0.0143,0.0021,0.0012,0.039,0.0118,0.0037,0.3821,0.6179,3,1,0.2074,,,,,5,6229.0,,5072.0,0.4939,0.2372,,428.0,1200.0,,36066.0,0.5845,Southeast
Fort Valley State University,0.021,0.9215,0.0178,0.0031,0.0013,0.0,0.0277,0.0013,0.0062,0.3876,0.6124,4,1,0.1038,0.5181,470.0,435.0,919.0,5,13650.0,,6063.0,0.75,0.8275,331.0,51.0,1500.0,1.0,47975.5,0.5845,Southeast
Grady Health System Professional Schools,0.3243,0.5676,0.0811,0.0135,0.0,0.0,0.0135,0.0,0.0,0.2432,0.7568,1,1,0.7297,,,,,5,,,,,0.6271,,,,,27754.0,0.5845,Southeast
Georgia Institute of Technology-Main Campus,0.4676,0.0705,0.0738,0.2264,0.0005,0.0004,0.0421,0.0944,0.0242,0.6044,0.3956,4,1,0.0304,0.2058,680.0,725.0,1418.0,5,14739.0,,13062.0,0.8855,0.2416,20338.0,790.0,800.0,1.0,47975.5,0.5845,Southeast
Georgia Southwestern State University,0.5947,0.2768,0.0575,0.0136,0.0014,0.0009,0.028999999999999998,0.0243,0.0019,0.3576,0.6424,4,1,0.207,0.5833,530.0,500.0,1027.0,5,11157.0,,6349.0,0.7473,0.4799,452.0,359.0,1200.0,1.0,47975.5,0.5845,Southeast
Georgia Southern University,0.5891,0.2551,0.07200000000000001,0.0223,0.0037,0.0009,0.0382,0.0142,0.0046,0.4425,0.5575,4,1,0.12300000000000001,0.5447,575.0,550.0,1129.0,5,15536.0,,7122.0,0.8299,0.5077,3339.0,1050.0,1200.0,1.0,47975.5,0.5845,Southeast
Gordon State College,0.4626,0.4367,0.0512,0.0081,0.0017,0.0,0.032,0.0017,0.0061,0.3219,0.6781,3,1,0.1359,0.8386,475.0,455.0,936.0,5,9935.0,,5565.0,0.6313,0.4696,,525.0,1340.0,1.0,36066.0,0.5845,Southeast
Southern Crescent Technical College,0.4403,0.4645,0.0578,0.0089,0.0015,0.0008,0.0211,0.0033,0.0018,0.2967,0.7033,2,1,0.374,,,,,5,5568.0,,4889.0,,0.1376,,1319.0,3000.0,,27754.0,0.5845,Southeast
Gupton Jones College of Funeral Service,0.3038,0.6962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4051,0.5949,2,2,0.3333,,,,,5,,16398.0,3361.0,,0.6636,,,0.0,,36066.0,0.5845,Southeast
Gwinnett College-Lilburn,0.0833,0.7381,0.11900000000000001,0.0357,0.0,0.0238,0.0,0.0,0.0,0.0714,0.9286,2,3,0.6548,,,,,5,,23374.0,1560.0,0.1786,0.6882,,,2400.0,,27754.0,0.5845,Southeast
Gwinnett Technical College,0.3021,0.3559,0.1769,0.0796,0.0023,0.0017,0.0319,0.0163,0.0333,0.4293,0.5707,2,1,0.4026,,,,,5,11110.0,,5253.0,0.1961,0.2549,,2101.0,1750.0,,27754.0,0.5845,Southeast
Interdenominational Theological Center,,,,,,,,,,,,4,2,,,,,,5,,,5358.0,0.3636,,265.0,,,,,0.5845,Southeast
LaGrange College,0.711,0.2185,0.0208,0.0116,0.0058,0.0,0.022000000000000002,0.0081,0.0023,0.5098,0.4902,4,2,0.0619,0.4881,544.0,530.0,1079.0,5,,20805.0,6607.0,1.0,0.7491,123.0,7.0,1000.0,1.0,47975.5,0.5845,Southeast
Lanier Technical College,0.6439,0.0936,0.1948,0.023,0.0051,0.0009,0.0223,0.0163,0.0,0.4017,0.5983,2,1,0.2801,,,,,5,1768.0,,5044.0,1.0,0.0,,1305.0,850.0,,27754.0,0.5845,Southeast
Chattahoochee Technical College,0.4827,0.27699999999999997,0.1526,0.0283,0.0051,0.0011,0.0316,0.0136,0.008,0.4222,0.5778,2,1,0.3223,,,,,5,1137.0,,4726.0,1.0,0.0,,1927.0,1100.0,,27754.0,0.5845,Southeast
Herzing University-Atlanta,0.1313,0.7291,0.0293,0.0419,0.0056,0.0056,0.013999999999999999,0.0014,0.0419,0.2067,0.7933,4,2,0.6935,0.8974,,,,5,,25542.0,6415.0,0.2778,0.7925,66.0,5.0,,2.0,47975.5,0.5845,Southeast
Mercer University,0.4675,0.2846,0.0655,0.0793,0.0021,0.0006,0.0354,0.0171,0.0479,0.3704,0.6296,4,2,0.237,0.7422,630.0,625.0,1274.0,5,,21464.0,8727.0,0.9622,0.5735,3875.0,59.0,1200.0,1.0,47975.5,0.5845,Southeast
Morehouse College,0.0022,0.723,0.004,0.0,0.0018,0.0,0.0228,0.0071,0.2391,0.9996,0.0004,3,2,0.0299,0.998,530.0,552.0,1064.0,5,,31327.0,6142.0,0.9551,0.6591,,,2053.0,1.0,47975.5,0.5845,Southeast
