School,white,black,hispanic,asian,aian,nhpi,tom,ntr,unk,men,women,highest_degree,ownership,admissions_rate,sat_mid_overall,region
North Dakota State University-Main Campus,0.8669,0.0268,0.028,0.0146,0.006,0.0007,0.0367,0.0123,0.0081,0.5352,0.4648,4,1,0.9356,1169.0,4
North Dakota State University-Main Campus,0.8669,0.0268,0.028,0.0146,0.006,0.0007,0.0367,0.0123,0.0081,0.5352,0.4648,4,1,0.9356,1169.0,4
North Dakota State University-Main Campus,0.8669,0.0268,0.028,0.0146,0.006,0.0007,0.0367,0.0123,0.0081,0.5352,0.4648,4,1,0.9356,1169.0,4
North Dakota State University-Main Campus,0.8669,0.0268,0.028,0.0146,0.006,0.0007,0.0367,0.0123,0.0081,0.5352,0.4648,4,1,0.9356,1169.0,4
North Dakota State University-Main Campus,0.8669,0.0268,0.028,0.0146,0.006,0.0007,0.0367,0.0123,0.0081,0.5352,0.4648,4,1,0.9356,1169.0,4
North Dakota State University-Main Campus,0.8669,0.0268,0.028,0.0146,0.006,0.0007,0.0367,0.0123,0.0081,0.5352,0.4648,4,1,0.9356,1169.0,4
North Dakota State University-Main Campus,0.8669,0.0268,0.028,0.0146,0.006,0.0007,0.0367,0.0123,0.0081,0.5352,0.4648,4,1,0.9356,1169.0,4
North Dakota State University-Main Campus,0.8669,0.0268,0.028,0.0146,0.006,0.0007,0.0367,0.0123,0.0081,0.5352,0.4648,4,1,0.9356,1169.0,4
North Dakota State University-Main Campus,0.8669,0.0268,0.028,0.0146,0.006,0.0007,0.0367,0.0123,0.0081,0.5352,0.4648,4,1,0.9356,1169.0,4
North Dakota State University-Main Campus,0.8669,0.0268,0.028,0.0146,0.006,0.0007,0.0367,0.0123,0.0081,0.5352,0.4648,4,1,0.9356,1169.0,4
North Dakota State University-Main Campus,0.8669,0.0268,0.028,0.0146,0.006,0.0007,0.0367,0.0123,0.0081,0.5352,0.4648,4,1,0.9356,1169.0,4
Trinity Bible College and Graduate School,0.8025,0.0617,0.0556,0.0062,0.0247,0.0,0.0309,0.0,0.0185,0.537,0.463,4,2,0.9074,1040.0,4
Trinity Bible College and Graduate School,0.8025,0.0617,0.0556,0.0062,0.0247,0.0,0.0309,0.0,0.0185,0.537,0.463,4,2,0.9074,1040.0,4
Valley City State University,0.8015,0.0299,0.0636,0.0039,0.0116,0.0048,0.053,0.0202,0.0116,0.474,0.526,4,1,0.7621,1077.0,4
Valley City State University,0.8015,0.0299,0.0636,0.0039,0.0116,0.0048,0.053,0.0202,0.0116,0.474,0.526,4,1,0.7621,1077.0,4
University of Akron Main Campus,0.7577,0.1006,0.0318,0.0282,0.0016,0.0002,0.0431,0.0211,0.0157,0.5486,0.4514,4,1,0.7304,1118.0,3
University of Akron Main Campus,0.7577,0.1006,0.0318,0.0282,0.0016,0.0002,0.0431,0.0211,0.0157,0.5486,0.4514,4,1,0.7304,1118.0,3
Art Academy of Cincinnati,0.6934,0.1557,0.0613,0.0094,0.0,0.0,0.0566,0.0047,0.0189,0.2736,0.7264,3,2,0.2651,958.0,3
Art Academy of Cincinnati,0.6934,0.1557,0.0613,0.0094,0.0,0.0,0.0566,0.0047,0.0189,0.2736,0.7264,3,2,0.2651,958.0,3
Ashland University,0.7403,0.1026,0.0353,0.0091,0.004,0.0024,0.0249,0.0232,0.0582,0.4164,0.5836,4,2,0.7117,1104.0,3
Ashland University,0.7403,0.1026,0.0353,0.0091,0.004,0.0024,0.0249,0.0232,0.0582,0.4164,0.5836,4,2,0.7117,1104.0,3
Aultman College of Nursing and Health Sciences,0.8576,0.0441,0.0237,0.0068,0.0136,0.0,0.0305,0.0,0.0237,0.0915,0.9085,3,2,0.5055,1085.0,3
Aultman College of Nursing and Health Sciences,0.8576,0.0441,0.0237,0.0068,0.0136,0.0,0.0305,0.0,0.0237,0.0915,0.9085,3,2,0.5055,1085.0,3
