School,white,black,hispanic,asian,aian,nhpi,tom,ntr,unk,men,women,highest_degree,ownership,admissions_rate,sat_mid_overall,region
Boise Bible College,0.8298,0.0319,0.0426,0.0426,0.0106,0.0,0.0,0.0319,0.0106,0.5957,0.4043,3,2,0.9474,1053.0,7
Boise State University,0.7362,0.0165,0.13699999999999998,0.0254,0.0034,0.0047,0.0508,0.0112,0.0149,0.436,0.564,4,1,0.7744,1136.0,7
Lewis-Clark State College,0.7863,0.0112,0.0882,0.0097,0.0228,0.003,0.0396,0.0179,0.0213,0.3743,0.6257,3,1,0.9976,999.0,7
Northwest Nazarene University,0.7665,0.0142,0.1255,0.0159,0.0025,0.0042,0.036000000000000004,0.0209,0.0142,0.4075,0.5925,4,2,0.8553,1114.0,7
Northwest Nazarene University,0.7665,0.0142,0.1255,0.0159,0.0025,0.0042,0.036000000000000004,0.0209,0.0142,0.4075,0.5925,4,2,0.8553,1114.0,7
Northwest Nazarene University,0.7665,0.0142,0.1255,0.0159,0.0025,0.0042,0.036000000000000004,0.0209,0.0142,0.4075,0.5925,4,2,0.8553,1114.0,7
Northwest Nazarene University,0.7665,0.0142,0.1255,0.0159,0.0025,0.0042,0.036000000000000004,0.0209,0.0142,0.4075,0.5925,4,2,0.8553,1114.0,7
Northwest Nazarene University,0.7665,0.0142,0.1255,0.0159,0.0025,0.0042,0.036000000000000004,0.0209,0.0142,0.4075,0.5925,4,2,0.8553,1114.0,7
Northwest Nazarene University,0.7665,0.0142,0.1255,0.0159,0.0025,0.0042,0.036000000000000004,0.0209,0.0142,0.4075,0.5925,4,2,0.8553,1114.0,7
Northwest Nazarene University,0.7665,0.0142,0.1255,0.0159,0.0025,0.0042,0.036000000000000004,0.0209,0.0142,0.4075,0.5925,4,2,0.8553,1114.0,7
Northwest Nazarene University,0.7665,0.0142,0.1255,0.0159,0.0025,0.0042,0.036000000000000004,0.0209,0.0142,0.4075,0.5925,4,2,0.8553,1114.0,7
Northwest Nazarene University,0.7665,0.0142,0.1255,0.0159,0.0025,0.0042,0.036000000000000004,0.0209,0.0142,0.4075,0.5925,4,2,0.8553,1114.0,7
Brigham Young University-Idaho,0.7041,0.0051,0.0334,0.0095,0.0032,0.0052,0.0852,0.1305,0.0239,0.4255,0.5745,3,2,0.9577,1111.0,7
School of the Art Institute of Chicago,0.3443,0.0375,0.1063,0.0888,0.0013,0.001,0.0342,0.3305,0.056,0.2548,0.7452,4,2,0.5704,1238.0,3
Augustana University,0.8482,0.0232,0.0312,0.0159,0.0079,0.0006,0.0159,0.0555,0.0017,0.3649,0.6351,4,2,0.6691,1248.0,4
Augustana University,0.8482,0.0232,0.0312,0.0159,0.0079,0.0006,0.0159,0.0555,0.0017,0.3649,0.6351,4,2,0.6691,1248.0,4
Augustana University,0.8482,0.0232,0.0312,0.0159,0.0079,0.0006,0.0159,0.0555,0.0017,0.3649,0.6351,4,2,0.6691,1248.0,4
Augustana University,0.8482,0.0232,0.0312,0.0159,0.0079,0.0006,0.0159,0.0555,0.0017,0.3649,0.6351,4,2,0.6691,1248.0,4
Augustana University,0.8482,0.0232,0.0312,0.0159,0.0079,0.0006,0.0159,0.0555,0.0017,0.3649,0.6351,4,2,0.6691,1248.0,4
Augustana University,0.8482,0.0232,0.0312,0.0159,0.0079,0.0006,0.0159,0.0555,0.0017,0.3649,0.6351,4,2,0.6691,1248.0,4
Augustana University,0.8482,0.0232,0.0312,0.0159,0.0079,0.0006,0.0159,0.0555,0.0017,0.3649,0.6351,4,2,0.6691,1248.0,4
Augustana University,0.8482,0.0232,0.0312,0.0159,0.0079,0.0006,0.0159,0.0555,0.0017,0.3649,0.6351,4,2,0.6691,1248.0,4
Aurora University,0.4614,0.0684,0.339,0.0275,0.0027,0.0017,0.031,0.0047,0.0635,0.34700000000000003,0.653,4,2,0.8673,1052.0,3
Blackburn College,0.7854,0.0938,0.0396,0.0146,0.0042,0.0,0.0292,0.0167,0.0167,0.4417,0.5583,3,2,0.5714,1027.0,3
Bradley University,0.7096,0.0701,0.112,0.0389,0.0011,0.0002,0.0314,0.0186,0.0182,0.493,0.507,4,2,0.7021,1191.0,3
Chicago State University,0.0323,0.7188,0.0993,0.0064,0.0029,0.0005,0.0,0.0284,0.1115,0.3042,0.6958,4,1,0.6334,958.0,3
University of Illinois Chicago,0.2654,0.0764,0.3419,0.2083,0.0004,0.0004,0.0298,0.0603,0.017,0.4791,0.5209,4,1,0.727,1161.0,3
University of Illinois Chicago,0.2654,0.0764,0.3419,0.2083,0.0004,0.0004,0.0298,0.0603,0.017,0.4791,0.5209,4,1,0.727,1161.0,3
University of Illinois Chicago,0.2654,0.0764,0.3419,0.2083,0.0004,0.0004,0.0298,0.0603,0.017,0.4791,0.5209,4,1,0.727,1161.0,3
University of Illinois Chicago,0.2654,0.0764,0.3419,0.2083,0.0004,0.0004,0.0298,0.0603,0.017,0.4791,0.5209,4,1,0.727,1161.0,3
Concordia University-Chicago,0.469,0.1139,0.3111,0.022,0.0,0.002,0.0413,0.0313,0.0093,0.4171,0.5829,4,2,0.7472,1113.0,3
Eastern Illinois University,0.5914,0.2218,0.0856,0.0138,0.0031,0.0009,0.0293,0.0277,0.0264,0.4035,0.5965,4,1,0.525,1051.0,3
Elmhurst University,0.58,0.0545,0.248,0.0599,0.0021,0.0014,0.0271,0.0114,0.0157,0.3819,0.6181,4,2,0.6778,1114.0,3
Eureka College,0.8028,0.0946,0.0282,0.006,0.008,0.002,0.0282,0.0101,0.0201,0.5312,0.4688,3,2,0.6184,1044.0,3
Governors State University,0.3008,0.3991,0.1523,0.0186,0.0003,0.0013,0.0284,0.0104,0.0889,0.3682,0.6318,4,1,0.4561,955.0,3
Greenville University,0.6564,0.1279,0.0662,0.0046,0.0,0.0023,0.0342,0.0868,0.0217,0.5468,0.4532,4,2,0.5612,1076.0,3
Benedictine University,0.4254,0.0894,0.1829,0.1556,0.013,0.0049,0.0,0.0183,0.1105,0.4592,0.5408,4,2,0.4171,1098.0,3
University of Illinois Urbana-Champaign,0.4309,0.0636,0.1295,0.1933,0.0003,0.0006,0.0341,0.1406,0.0071,0.5357,0.4643,4,1,0.5903,1342.0,3
Illinois Wesleyan University,0.6986,0.0686,0.0871,0.0661,0.0,0.0006,0.0241,0.0426,0.0124,0.4793,0.5207,3,2,0.608,1245.0,3
Illinois Institute of Technology,0.3763,0.0538,0.1741,0.1557,0.0007,0.0003,0.0353,0.1758,0.028,0.6814,0.3186,4,2,0.6023,1312.0,3
Illinois State University,0.7223,0.0936,0.1157,0.0225,0.0012,0.001,0.0334,0.0064,0.0038,0.4463,0.5537,4,1,0.8194,1132.0,3
Judson University,0.4503,0.1452,0.2232,0.0224,0.0,0.0019,0.0214,0.0448,0.0906,0.4288,0.5712,4,2,0.3853,1036.0,3
Knox College,0.4622,0.0757,0.1343,0.0456,0.0008,0.0016,0.061,0.1977,0.0212,0.4304,0.5696,3,2,0.6832,1255.0,3
Lewis University,0.5862,0.0592,0.2228,0.0524,0.0012,0.0017,0.0216,0.0216,0.0335,0.4887,0.5113,4,2,0.639,1131.0,3
Lewis University,0.5862,0.0592,0.2228,0.0524,0.0012,0.0017,0.0216,0.0216,0.0335,0.4887,0.5113,4,2,0.639,1131.0,3
Loyola University Chicago,0.5582,0.0533,0.1678,0.1212,0.001,0.0022,0.0432,0.0389,0.0141,0.3291,0.6709,4,2,0.6722,1263.0,3
McKendree University,0.6117,0.1247,0.0539,0.0068,0.0023,0.0011,0.0351,0.0522,0.1122,0.479,0.521,4,2,0.6335,1106.0,3
Nebraska Methodist College of Nursing & Allied Health,0.8172,0.0339,0.0692,0.0222,0.0026,0.0013,0.0261,0.0026,0.0248,0.0966,0.9034,4,2,0.9744,1120.0,4
Millikin University,0.6833,0.1363,0.0513,0.0166,0.0016,0.0005,0.0368,0.0384,0.0353,0.4474,0.5526,4,2,0.7125,1112.0,3
Monmouth College,0.6733,0.0922,0.1011,0.0089,0.0022,0.0,0.0289,0.0344,0.0589,0.5,0.5,3,2,0.6667,1099.0,3
Moody Bible Institute,0.5753,0.0544,0.0683,0.0315,0.0022,0.0022,0.0337,0.0782,0.1542,0.5209,0.4791,4,2,0.9441,1080.0,3
Moody Bible Institute,0.5753,0.0544,0.0683,0.0315,0.0022,0.0022,0.0337,0.0782,0.1542,0.5209,0.4791,4,2,0.9441,1080.0,3
Moody Bible Institute,0.5753,0.0544,0.0683,0.0315,0.0022,0.0022,0.0337,0.0782,0.1542,0.5209,0.4791,4,2,0.9441,1080.0,3
Moody Bible Institute,0.5753,0.0544,0.0683,0.0315,0.0022,0.0022,0.0337,0.0782,0.1542,0.5209,0.4791,4,2,0.9441,1080.0,3
Northern Illinois University,0.515,0.1745,0.1927,0.0576,0.001,0.0009,0.0368,0.0193,0.0022,0.4881,0.5119,4,1,0.4835,1070.0,3
Northwestern State University of Louisiana,0.5189,0.3188,0.0678,0.0077,0.0139,0.0012,0.045,0.0148,0.012,0.2738,0.7262,4,1,0.8198,1105.0,5
Northwestern State University of Louisiana,0.5189,0.3188,0.0678,0.0077,0.0139,0.0012,0.045,0.0148,0.012,0.2738,0.7262,4,1,0.8198,1105.0,5
Northwestern State University of Louisiana,0.5189,0.3188,0.0678,0.0077,0.0139,0.0012,0.045,0.0148,0.012,0.2738,0.7262,4,1,0.8198,1105.0,5
Northwestern State University of Louisiana,0.5189,0.3188,0.0678,0.0077,0.0139,0.0012,0.045,0.0148,0.012,0.2738,0.7262,4,1,0.8198,1105.0,5
Northeastern Illinois University,0.2664,0.1052,0.3964,0.0931,0.0016,0.0034,0.0165,0.0153,0.102,0.4305,0.5695,4,1,0.5848,1011.0,3
Northeastern Illinois University,0.2664,0.1052,0.3964,0.0931,0.0016,0.0034,0.0165,0.0153,0.102,0.4305,0.5695,4,1,0.5848,1011.0,3
Northeastern Illinois University,0.2664,0.1052,0.3964,0.0931,0.0016,0.0034,0.0165,0.0153,0.102,0.4305,0.5695,4,1,0.5848,1011.0,3
Northeastern Illinois University,0.2664,0.1052,0.3964,0.0931,0.0016,0.0034,0.0165,0.0153,0.102,0.4305,0.5695,4,1,0.5848,1011.0,3
Olivet Nazarene University,0.7239,0.08900000000000001,0.0991,0.0201,0.001,0.001,0.0331,0.011,0.0218,0.4115,0.5885,4,2,0.5776,1098.0,3
Principia College,0.6940000000000001,0.0174,0.0473,0.0299,0.0,0.005,0.0224,0.1692,0.0149,0.5149,0.4851,3,2,0.9143,1145.0,3
Quincy University,0.72,0.1202,0.0408,0.0063,0.0042,0.0,0.001,0.0261,0.0815,0.4922,0.5078,4,2,0.6176,1098.0,3
Rockford University,0.5483,0.1029,0.1909,0.0276,0.0032,0.0,0.0329,0.087,0.0074,0.4401,0.5599,4,2,0.5424,1069.0,3
Roosevelt University,0.4331,0.1452,0.2634,0.0536,0.0039,0.0022,0.0336,0.0436,0.0214,0.3371,0.6629,4,2,0.6729999999999999,1143.0,3
Dominican University,0.2677,0.0519,0.5788,0.0351,0.0023,0.0009,0.0126,0.015,0.0356,0.3154,0.6846,4,2,0.6434,1106.0,3
University of Saint Francis-Fort Wayne,0.7404,0.085,0.0988,0.0172,0.0006,0.0,0.0339,0.0109,0.0132,0.301,0.6990000000000001,4,2,0.9622,1072.0,3
University of Saint Francis-Fort Wayne,0.7404,0.085,0.0988,0.0172,0.0006,0.0,0.0339,0.0109,0.0132,0.301,0.6990000000000001,4,2,0.9622,1072.0,3
University of Saint Francis-Fort Wayne,0.7404,0.085,0.0988,0.0172,0.0006,0.0,0.0339,0.0109,0.0132,0.301,0.6990000000000001,4,2,0.9622,1072.0,3
University of Saint Francis-Fort Wayne,0.7404,0.085,0.0988,0.0172,0.0006,0.0,0.0339,0.0109,0.0132,0.301,0.6990000000000001,4,2,0.9622,1072.0,3
University of Saint Francis-Fort Wayne,0.7404,0.085,0.0988,0.0172,0.0006,0.0,0.0339,0.0109,0.0132,0.301,0.6990000000000001,4,2,0.9622,1072.0,3
University of Saint Francis-Fort Wayne,0.7404,0.085,0.0988,0.0172,0.0006,0.0,0.0339,0.0109,0.0132,0.301,0.6990000000000001,4,2,0.9622,1072.0,3
University of Saint Francis-Fort Wayne,0.7404,0.085,0.0988,0.0172,0.0006,0.0,0.0339,0.0109,0.0132,0.301,0.6990000000000001,4,2,0.9622,1072.0,3
University of Saint Francis-Fort Wayne,0.7404,0.085,0.0988,0.0172,0.0006,0.0,0.0339,0.0109,0.0132,0.301,0.6990000000000001,4,2,0.9622,1072.0,3
University of Saint Francis-Fort Wayne,0.7404,0.085,0.0988,0.0172,0.0006,0.0,0.0339,0.0109,0.0132,0.301,0.6990000000000001,4,2,0.9622,1072.0,3
University of Saint Francis-Fort Wayne,0.7404,0.085,0.0988,0.0172,0.0006,0.0,0.0339,0.0109,0.0132,0.301,0.6990000000000001,4,2,0.9622,1072.0,3
University of Saint Francis-Fort Wayne,0.7404,0.085,0.0988,0.0172,0.0006,0.0,0.0339,0.0109,0.0132,0.301,0.6990000000000001,4,2,0.9622,1072.0,3
University of Saint Francis-Fort Wayne,0.7404,0.085,0.0988,0.0172,0.0006,0.0,0.0339,0.0109,0.0132,0.301,0.6990000000000001,4,2,0.9622,1072.0,3
University of Saint Francis-Fort Wayne,0.7404,0.085,0.0988,0.0172,0.0006,0.0,0.0339,0.0109,0.0132,0.301,0.6990000000000001,4,2,0.9622,1072.0,3
University of Saint Francis-Fort Wayne,0.7404,0.085,0.0988,0.0172,0.0006,0.0,0.0339,0.0109,0.0132,0.301,0.6990000000000001,4,2,0.9622,1072.0,3
University of Saint Francis-Fort Wayne,0.7404,0.085,0.0988,0.0172,0.0006,0.0,0.0339,0.0109,0.0132,0.301,0.6990000000000001,4,2,0.9622,1072.0,3
University of Saint Francis-Fort Wayne,0.7404,0.085,0.0988,0.0172,0.0006,0.0,0.0339,0.0109,0.0132,0.301,0.6990000000000001,4,2,0.9622,1072.0,3
University of Saint Francis-Fort Wayne,0.7404,0.085,0.0988,0.0172,0.0006,0.0,0.0339,0.0109,0.0132,0.301,0.6990000000000001,4,2,0.9622,1072.0,3
University of Saint Francis-Fort Wayne,0.7404,0.085,0.0988,0.0172,0.0006,0.0,0.0339,0.0109,0.0132,0.301,0.6990000000000001,4,2,0.9622,1072.0,3
University of Saint Francis-Fort Wayne,0.7404,0.085,0.0988,0.0172,0.0006,0.0,0.0339,0.0109,0.0132,0.301,0.6990000000000001,4,2,0.9622,1072.0,3
University of Saint Francis-Fort Wayne,0.7404,0.085,0.0988,0.0172,0.0006,0.0,0.0339,0.0109,0.0132,0.301,0.6990000000000001,4,2,0.9622,1072.0,3
University of Saint Francis-Fort Wayne,0.7404,0.085,0.0988,0.0172,0.0006,0.0,0.0339,0.0109,0.0132,0.301,0.6990000000000001,4,2,0.9622,1072.0,3
University of Saint Francis-Fort Wayne,0.7404,0.085,0.0988,0.0172,0.0006,0.0,0.0339,0.0109,0.0132,0.301,0.6990000000000001,4,2,0.9622,1072.0,3
University of Saint Francis-Fort Wayne,0.7404,0.085,0.0988,0.0172,0.0006,0.0,0.0339,0.0109,0.0132,0.301,0.6990000000000001,4,2,0.9622,1072.0,3
University of Saint Francis-Fort Wayne,0.7404,0.085,0.0988,0.0172,0.0006,0.0,0.0339,0.0109,0.0132,0.301,0.6990000000000001,4,2,0.9622,1072.0,3
Saint Xavier University,0.3979,0.1125,0.4152,0.0265,0.001,0.0007,0.0221,0.0,0.0241,0.3772,0.6228,4,2,0.7265,1065.0,3
Saint Xavier University,0.3979,0.1125,0.4152,0.0265,0.001,0.0007,0.0221,0.0,0.0241,0.3772,0.6228,4,2,0.7265,1065.0,3
Saint Xavier University,0.3979,0.1125,0.4152,0.0265,0.001,0.0007,0.0221,0.0,0.0241,0.3772,0.6228,4,2,0.7265,1065.0,3
Saint Xavier University,0.3979,0.1125,0.4152,0.0265,0.001,0.0007,0.0221,0.0,0.0241,0.3772,0.6228,4,2,0.7265,1065.0,3
Saint Xavier University,0.3979,0.1125,0.4152,0.0265,0.001,0.0007,0.0221,0.0,0.0241,0.3772,0.6228,4,2,0.7265,1065.0,3
Saint Xavier University,0.3979,0.1125,0.4152,0.0265,0.001,0.0007,0.0221,0.0,0.0241,0.3772,0.6228,4,2,0.7265,1065.0,3
University of Illinois Springfield,0.6276,0.145,0.1068,0.0379,0.0019,0.0008,0.0409,0.0272,0.0119,0.4914,0.5086,4,1,0.7681,1118.0,3
Southern Illinois University-Carbondale,0.6759,0.1376,0.0965,0.0199,0.0037,0.0012,0.0309,0.0336,0.0007,0.5378,0.4622,4,1,0.6638,1169.0,3
Southern Illinois University-Edwardsville,0.7251,0.1362,0.0466,0.0238,0.0024,0.0014,0.0388,0.0144,0.0113,0.4612,0.5388,4,1,0.8567,1137.0,3
Trinity Christian College,0.6447,0.0972,0.1501,0.0194,0.0054,0.0032,0.0086,0.041,0.0302,0.3348,0.6652,4,2,0.6906,1113.0,3
Trinity International University-Illinois,0.6053,0.1628,0.1009,0.0283,0.0018,0.0,0.0336,0.0265,0.0407,0.5965,0.4035,4,2,0.6024,1078.0,3
VanderCook College of Music,0.4865,0.1081,0.2973,0.027000000000000003,0.0,0.0,0.0676,0.0135,0.0,0.5811,0.4189,4,2,0.8519,1034.0,3
Western Illinois University,0.6076,0.1959,0.1252,0.0124,0.0015,0.0008,0.0269,0.0099,0.0198,0.4735,0.5265,4,1,0.5666,1067.0,3
Wheaton College,0.7142,0.0259,0.0674,0.0967,0.0013,0.0013,0.0534,0.0365,0.0034,0.4559,0.5441,4,2,0.8481,1337.0,3
Wheaton College,0.7142,0.0259,0.0674,0.0967,0.0013,0.0013,0.0534,0.0365,0.0034,0.4559,0.5441,4,2,0.8481,1337.0,3
Wheaton College,0.7142,0.0259,0.0674,0.0967,0.0013,0.0013,0.0534,0.0365,0.0034,0.4559,0.5441,4,2,0.8481,1337.0,3
Wheaton College,0.7142,0.0259,0.0674,0.0967,0.0013,0.0013,0.0534,0.0365,0.0034,0.4559,0.5441,4,2,0.8481,1337.0,3
Butler University,0.8251,0.0362,0.0509,0.0337,0.0018,0.0002,0.0362,0.0075,0.0084,0.4004,0.5996,4,2,0.7317,1262.0,3
DePauw University,0.6389,0.0571,0.0952,0.0345,0.0015,0.0,0.0273,0.1353,0.0103,0.4789,0.5211,3,2,0.6436,1253.0,3
Earlham College,0.5092,0.07400000000000001,0.0783,0.0348,0.0,0.0,0.0511,0.2307,0.0218,0.4331,0.5669,4,2,0.6343,1246.0,3
University of Evansville,0.7473,0.041,0.0389,0.0245,0.0005,0.0011,0.033,0.105,0.0085,0.419,0.581,4,2,0.7067,1223.0,3
Goshen College,0.5748,0.0411,0.2369,0.0237,0.0,0.0025,0.0224,0.0748,0.0237,0.3815,0.6185,4,2,0.6299,1132.0,3
College of the Holy Cross,0.6940000000000001,0.0484,0.1126,0.044,0.0003,0.0007,0.0338,0.0331,0.0331,0.4787,0.5213,3,2,0.3422,1356.0,1
Huntington University,0.8153,0.0291,0.0562,0.008,0.002,0.003,0.0442,0.0422,0.0,0.4187,0.5813,4,2,0.7546,1075.0,3
Purdue University Fort Wayne,0.743,0.0661,0.0784,0.0359,0.0018,0.0007,0.0458,0.0259,0.0025,0.4901,0.5099,4,1,0.8143,1085.0,3
Indiana University-Purdue University-Indianapolis,0.6669,0.0947,0.0942,0.0542,0.0011,0.0003,0.0482,0.0357,0.0047,0.4164,0.5836,4,1,0.8073,1106.0,3
Indiana Institute of Technology,0.4892,0.1835,0.0612,0.0215,0.0007,0.0027,0.0423,0.1546,0.0444,0.6465,0.3535,4,2,0.5964,1054.0,3
University of Southern Indiana,0.8529,0.0431,0.042,0.0134,0.0011,0.0006,0.0293,0.0165,0.0011,0.3648,0.6352,4,1,0.9332,1090.0,3
Indiana University-Kokomo,0.8263,0.0367,0.0647,0.0105,0.0022,0.0,0.0316,0.0134,0.0145,0.3434,0.6566,4,1,0.7364,1053.0,3
Indiana University-South Bend,0.6715,0.079,0.1426,0.0178,0.0011,0.0009,0.0487,0.0307,0.0077,0.3597,0.6403,4,1,0.777,1042.0,3
Indiana University-Bloomington,0.687,0.0451,0.0718,0.0649,0.0009,0.0002,0.0472,0.0804,0.0027,0.5064,0.4936,4,1,0.7791,1274.0,3
Indiana University-Northwest,0.5143,0.1516,0.2505,0.0289,0.0006,0.0003,0.0405,0.0055,0.0079,0.2803,0.7197,4,1,0.7462,1013.0,3
Indiana University-Southeast,0.8142,0.0651,0.0503,0.0188,0.0014,0.0007,0.0373,0.0058,0.0065,0.3865,0.6135,4,1,0.8191,1043.0,3
Indiana University-East,0.7553,0.053,0.0431,0.0118,0.0022,0.001,0.038,0.0163,0.0794,0.349,0.6509999999999999,4,1,0.6252,1041.0,3
University of New Hampshire at Manchester,0.6893,0.0254,0.07200000000000001,0.0636,0.0,0.0,0.024,0.0028,0.1229,0.4802,0.5198,3,1,0.9079,1105.0,1
University of New Hampshire at Manchester,0.6893,0.0254,0.07200000000000001,0.0636,0.0,0.0,0.024,0.0028,0.1229,0.4802,0.5198,3,1,0.9079,1105.0,1
University of New Hampshire at Manchester,0.6893,0.0254,0.07200000000000001,0.0636,0.0,0.0,0.024,0.0028,0.1229,0.4802,0.5198,3,1,0.9079,1105.0,1
University of New Hampshire at Manchester,0.6893,0.0254,0.07200000000000001,0.0636,0.0,0.0,0.024,0.0028,0.1229,0.4802,0.5198,3,1,0.9079,1105.0,1
Marian University,0.7273,0.0634,0.0876,0.0174,0.0076,0.0023,0.0264,0.0317,0.0363,0.315,0.685,4,2,0.6461,1025.0,3
Marian University,0.7273,0.0634,0.0876,0.0174,0.0076,0.0023,0.0264,0.0317,0.0363,0.315,0.685,4,2,0.6461,1025.0,3
Marian University,0.7273,0.0634,0.0876,0.0174,0.0076,0.0023,0.0264,0.0317,0.0363,0.315,0.685,4,2,0.6461,1025.0,3
Marian University,0.7273,0.0634,0.0876,0.0174,0.0076,0.0023,0.0264,0.0317,0.0363,0.315,0.685,4,2,0.6461,1025.0,3
Indiana Wesleyan University-Marion,0.8296,0.0372,0.0442,0.0174,0.0015,0.0012,0.0345,0.0167,0.0178,0.3594,0.6406,4,2,0.67,1135.0,3
The University of Tennessee-Martin,0.7869,0.1343,0.0314,0.0065,0.0029,0.0,0.0274,0.0107,0.0,0.4041,0.5959,4,1,0.6449,1170.0,5
The University of Tennessee-Martin,0.7869,0.1343,0.0314,0.0065,0.0029,0.0,0.0274,0.0107,0.0,0.4041,0.5959,4,1,0.6449,1170.0,5
The University of Tennessee-Martin,0.7869,0.1343,0.0314,0.0065,0.0029,0.0,0.0274,0.0107,0.0,0.4041,0.5959,4,1,0.6449,1170.0,5
The University of Tennessee-Martin,0.7869,0.1343,0.0314,0.0065,0.0029,0.0,0.0274,0.0107,0.0,0.4041,0.5959,4,1,0.6449,1170.0,5
University of Notre Dame,0.6738,0.0363,0.1151,0.046,0.0021,0.001,0.0549,0.0611,0.0097,0.5212,0.4788,4,2,0.1583,1490.0,3
University of Notre Dame,0.6738,0.0363,0.1151,0.046,0.0021,0.001,0.0549,0.0611,0.0097,0.5212,0.4788,4,2,0.1583,1490.0,3
University of Notre Dame,0.6738,0.0363,0.1151,0.046,0.0021,0.001,0.0549,0.0611,0.0097,0.5212,0.4788,4,2,0.1583,1490.0,3
University of Notre Dame,0.6738,0.0363,0.1151,0.046,0.0021,0.001,0.0549,0.0611,0.0097,0.5212,0.4788,4,2,0.1583,1490.0,3
Oakland City University,0.6312,0.0781,0.0498,0.0066,0.01,0.0,0.0581,0.0116,0.1545,0.505,0.495,4,2,0.5475,1023.0,3
Rose-Hulman Institute of Technology,0.6461,0.0397,0.0472,0.0587,0.002,0.001,0.0457,0.1426,0.0171,0.757,0.243,4,2,0.7421,1367.0,3
Saint Mary-of-the-Woods College,0.7603,0.0517,0.0265,0.004,0.0,0.0013,0.1166,0.004,0.0358,0.1444,0.8556,4,2,0.6723,1031.0,3
Saint Mary-of-the-Woods College,0.7603,0.0517,0.0265,0.004,0.0,0.0013,0.1166,0.004,0.0358,0.1444,0.8556,4,2,0.6723,1031.0,3
Saint Mary-of-the-Woods College,0.7603,0.0517,0.0265,0.004,0.0,0.0013,0.1166,0.004,0.0358,0.1444,0.8556,4,2,0.6723,1031.0,3
Saint Mary-of-the-Woods College,0.7603,0.0517,0.0265,0.004,0.0,0.0013,0.1166,0.004,0.0358,0.1444,0.8556,4,2,0.6723,1031.0,3
Saint Mary-of-the-Woods College,0.7603,0.0517,0.0265,0.004,0.0,0.0013,0.1166,0.004,0.0358,0.1444,0.8556,4,2,0.6723,1031.0,3
Saint Mary-of-the-Woods College,0.7603,0.0517,0.0265,0.004,0.0,0.0013,0.1166,0.004,0.0358,0.1444,0.8556,4,2,0.6723,1031.0,3
Saint Mary-of-the-Woods College,0.7603,0.0517,0.0265,0.004,0.0,0.0013,0.1166,0.004,0.0358,0.1444,0.8556,4,2,0.6723,1031.0,3
Saint Mary-of-the-Woods College,0.7603,0.0517,0.0265,0.004,0.0,0.0013,0.1166,0.004,0.0358,0.1444,0.8556,4,2,0.6723,1031.0,3
Saint Mary-of-the-Woods College,0.7603,0.0517,0.0265,0.004,0.0,0.0013,0.1166,0.004,0.0358,0.1444,0.8556,4,2,0.6723,1031.0,3
Saint Elizabeth School of Nursing,0.8601,0.021,0.0699,0.0,0.014,0.0,0.035,0.0,0.0,0.0559,0.9441,1,2,0.6923,910.0,3
Saint Elizabeth School of Nursing,0.8601,0.021,0.0699,0.0,0.014,0.0,0.035,0.0,0.0,0.0559,0.9441,1,2,0.6923,910.0,3
Saint Elizabeth School of Nursing,0.8601,0.021,0.0699,0.0,0.014,0.0,0.035,0.0,0.0,0.0559,0.9441,1,2,0.6923,910.0,3
Saint Elizabeth School of Nursing,0.8601,0.021,0.0699,0.0,0.014,0.0,0.035,0.0,0.0,0.0559,0.9441,1,2,0.6923,910.0,3
Taylor University,0.8326,0.0338,0.0431,0.0256,0.0027,0.0033,0.0115,0.0474,0.0,0.4607,0.5393,4,2,0.6813,1205.0,3
Trine University,0.8042,0.0425,0.05,0.017,0.0024,0.0,0.0316,0.0396,0.0127,0.6632,0.3368,4,2,0.8157,1170.0,3
Valparaiso University,0.7228,0.0536,0.1089,0.0223,0.0013,0.0003,0.0317,0.0317,0.0273,0.4422,0.5578,4,2,0.8585,1202.0,3
Buena Vista University,0.7263,0.0248,0.0757,0.0071,0.0064,0.0,0.0212,0.0071,0.1315,0.3614,0.6386,4,2,0.5735,1108.0,4
Clarke University,0.6936,0.0882,0.1106,0.012,0.0045,0.006,0.0269,0.0224,0.0359,0.4634,0.5366,4,2,0.9385,1054.0,4
Dordt University,0.8195,0.0122,0.0297,0.0091,0.0046,0.0,0.0099,0.0876,0.0274,0.5491,0.4509,4,2,0.7546,1202.0,4
Drake University,0.7578,0.0555,0.0693,0.0455,0.0003,0.0,0.0341,0.0351,0.0024,0.4108,0.5892,4,2,0.6764,1285.0,4
University of Dubuque,0.6283,0.1436,0.0776,0.0137,0.0016,0.0037,0.028,0.0697,0.0338,0.5539,0.4461,4,2,0.7269,1004.0,4
Emmaus Bible College,0.7488,0.0443,0.069,0.0394,0.0197,0.0,0.0296,0.0296,0.0197,0.4236,0.5764,3,2,0.9381,1126.0,4
Graceland University-Lamoni,0.6408,0.0932,0.1056,0.0114,0.0052,0.0176,0.0424,0.0611,0.0228,0.4234,0.5766,4,2,0.5811,1067.0,4
Grand View University,0.6429,0.0846,0.0846,0.0342,0.0023,0.0017,0.04,0.0319,0.0777,0.4614,0.5386,4,2,0.9587,1033.0,4
Grinnell College,0.5056,0.046,0.0796,0.076,0.0,0.0,0.0442,0.2039,0.0448,0.4691,0.5309,3,2,0.2308,1457.0,4
