School,enrolled,over_25,over_23,independent,dependent,unemployment,median_family_income,poverty_rate,admissions_rate,sat_mid_reading,sat_mid_math,sat_mid_writing,sat_mid_overall,region
Columbia College Hollywood,,0.1759,,,,,,,,,,,,8
Compton College,,0.3563,,,,,,,,,,,,8
Contra Costa College,,0.3736,,,,,,,,,,,,8
Cosumnes River College,,0.3558,,,,,,,,,,,,8
Crafton Hills College,,0.3363,,,,,,,,,,,,8
Cuesta College,,0.2649,,,,,,,,,,,,8
Cuyamaca College,,0.4157,,,,,,,,,,,,8
Cypress College,,0.3102,,,,,,,,,,,,8
De Anza College,,0.3034,,,,,,,,,,,,8
International School of Beauty Inc,,0.3427,,,,,,,,,,,,8
Dell'Arte International School of Physical Theatre,,0.5,,,,,,,,,,,,8
College of the Desert,,0.3163,,,,,,,,,,,,8
Design Institute of San Diego,,0.5289,,,,,,,0.8667,,,,,8
Diablo Valley College,,0.3204,,,,,,,,,,,,8
Dominican University of California,,0.1315,,,,,,,0.9134,565.0,560.0,,1127.0,8
