School,white,black,hispanic,asian,aian,nhpi,tom,ntr,unk,men,women,highest_degree,ownership,region
Empire Beauty School-Tucson,0.3208,0.0849,0.4811,0.0283,0.0472,0.0,0.0,0.0,0.0377,0.0472,0.9528,1,3,6
Carrington College-Phoenix North,0.2816,0.0742,0.4939,0.0286,0.059,0.0049,0.0298,0.0061,0.0219,0.1478,0.8522,2,3,6
Carrington College-Phoenix North,0.2816,0.0742,0.4939,0.0286,0.059,0.0049,0.0298,0.0061,0.0219,0.1478,0.8522,2,3,6
Carrington College-Phoenix North,0.2816,0.0742,0.4939,0.0286,0.059,0.0049,0.0298,0.0061,0.0219,0.1478,0.8522,2,3,6
Carrington College-Phoenix North,0.2816,0.0742,0.4939,0.0286,0.059,0.0049,0.0298,0.0061,0.0219,0.1478,0.8522,2,3,6
Arizona Academy of Beauty-East,0.3,0.15,0.375,0.05,0.05,0.0,0.075,0.0,0.0,0.025,0.975,1,3,6
Platt College-Arizona Automotive Institute Arizona,0.3633,0.1102,0.3469,0.0122,0.102,0.0163,0.0367,0.0,0.0122,0.9204,0.0796,1,3,6
Brookline College-Phoenix,0.4301,0.1872,0.1434,0.048,0.0703,0.0049,0.032,0.0,0.0842,0.1663,0.8337,4,3,6
Arizona State University Campus Immersion,0.4927,0.0383,0.2266,0.0853,0.0112,0.0017,0.0477,0.0884,0.0082,0.5525,0.4475,4,1,6
Arizona Western College,0.1418,0.0131,0.7606,0.0086,0.0095,0.0023,0.0155,0.0125,0.036000000000000004,0.4053,0.5947,2,1,6
University of Arizona,0.4977,0.0386,0.2709,0.0532,0.0117,0.0023,0.0499,0.0624,0.0133,0.4644,0.5356,4,1,6
Central Arizona College,0.382,0.0563,0.3701,0.017,0.0454,0.0038,0.0394,0.0142,0.0718,0.3869,0.6131,2,1,6
Charles of Italy Beauty College,0.5,0.0517,0.2759,0.0345,0.0172,0.0,0.0172,0.0,0.1034,0.0172,0.9828,1,3,6
Cochise County Community College District,0.4018,0.0493,0.4505,0.0162,0.0062,0.005,0.0496,0.0127,0.0086,0.452,0.5479999999999999,2,1,6
