School,white,black,hispanic,asian,aian,nhpi,tom,ntr,unk,men,women,highest_degree,ownership,over_25,admissions_rate,sat_mid_reading,sat_mid_math,sat_mid_overall,region,avg_cost_public,avg_cost_private,faculy_salary,ft_faculty_rate,federal_loan_rate,grad_students,undergrads_non_degree_seeking,booksupply_cost,test_requirements,ten_yrs_after_entry_earnings,completion_rate
Mesivta Torah Vodaath Rabbinical Seminary,1,0,0,0,0,0,0,0,0,1,0,4,2,0.2607,0.8889,,,,2,,4019,2219,,0,148,,200,3,47975.5,0.5845
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,0.9706,0,0,0,0,0,0,0.0294,0,1,0,3,2,,0.9231,,,,2,,9677,6097,,0,2,,200,3,36066,0.5845
Mesivtha Tifereth Jerusalem of America,1,0,0,0,0,0,0,0,0,1,0,4,2,0.0455,0.7,,,,2,,9130,3551,,0,19,,200,3,47975.5,0.5845
Midway Paris Beauty School,0.1205,0.3373,0.494,0,0,0,0,0.0241,0.0241,0.0361,0.9639,1,3,0.5422,,,,,2,,22766,,,0.6161,,,,,27754,0.5845
Mildred Elley School-Albany Campus,0.075,0.0694,0.0111,0.0028,0,0,0,0,0.8417,0.1694,0.8306,2,3,0.7167,,,,,2,,19121,4572,,0.8009,,,2250,,27754,0.5845
Mirrer Yeshiva Cent Institute,0.9496,0,0,0,0,0,0,0.0504,0,1,0,4,2,,0.7241,,,,2,,7755,3164,1,0,29,,325,3,36066,0.5845
Modern Welding School,0.9247,0.0215,0.0215,0,0,0,0.0215,0,0.0108,0.9355,0.0645,1,3,0.3871,,,,,2,,21829,,,0.6496,,,,,27754,0.5845
Mohawk Valley Community College,0.6816,0.0959,0.0946,0.0575,0.0027,0.0005,0.0333,0.0081,0.0258,0.442,0.558,2,1,0.2004,,,,,2,7722,,6278,0.4334,0.227,,2285,1570,,36066,0.5845
Molloy College,0.5978,0.0905,0.1859,0.0814,0.0026,0.0023,0.019,0.0053,0.0152,0.2726,0.7274,4,2,0.2102,0.7796,575,570,1162,2,,29374,10846,0.284,0.6566,1617,70,1470,1,47975.5,0.5845
Mount Saint Mary College,0.5701,0.0759,0.177,0.0209,0.0043,0,0.0134,0.0032,0.1353,0.2743,0.7257,4,2,0.168,0.9381,535,530,1072,2,,25242,8877,0.3591,0.8424,355,11,1300,1,47975.5,0.5845
Montefiore School of Nursing,0.1049,0.4198,0.2716,0.0926,0,0,0.0309,0,0.0802,0.1543,0.8457,2,2,0.8765,,,,,2,,21141,9666,,0.9662,,,1806,3,36066,0.5845
College of Mount Saint Vincent,0.2211,0.1809,0.4335,0.0733,0.0005,0.0005,0.0353,0.0092,0.0456,0.2808,0.7192,4,2,0.1269,0.9217,515,495,1015,2,,18220,9022,0.3727,0.7561,210,26,1185,1,47975.5,0.5845
Icahn School of Medicine at Mount Sinai,,,,,,,,,,,,4,2,,,,,,2,,,,,,1233,,,,,0.5845
Nassau Community College,0.3247,0.2114,0.3216,0.0686,0.0029,0.0031,0.0203,0.0075,0.0399,0.4966,0.5034,2,1,0.26,,,,,2,4594,,10892,0.4204,0.141,,1903,1950,,36066,0.5845
Nazareth College,0.7751,0.0544,0.0592,0.0309,0.0022,0.0004,0.0274,0.0141,0.0362,0.2651,0.7349,4,2,0.0438,0.6449,,,,2,,29994,8381,0.4172,0.7818,697,19,1000,3,47975.5,0.5845
Neighborhood Playhouse School of the Theater,0.5429,0.0857,0.1,0.0429,0,0.0143,0,0.2143,0,0.4286,0.5714,1,2,0.3571,0.5405,,,,2,,30358,,,0.4471,,,375,3,27754,0.5845
The New School,0.3343,0.0443,0.1189,0.1068,0.0014,0.001,0.0437,0.3125,0.0372,0.2442,0.7558,4,2,0.1039,0.5734,635,630,1275,2,,43334,11887,0.1737,0.2971,3023,125,1692,5,47975.5,0.5845
The New School Center for Media,0.5938,0.3438,0,0.0625,0,0,0,0,0,0.8438,0.1563,1,3,0.4375,,,,,2,,8891,,,0.8276,,,,,27754,0.5845
New York Chiropractic College,,,,,,,,,,,,4,2,,,,,,2,,,6422,0.5,,812,,,,,0.5845
New York Law School,,,,,,,,,,,,4,2,,,,,,2,,,19948,0.4496,,1102,,,,,0.5845
New York Medical College,,,,,,,,,,,,4,2,,,,,,2,,,8155,1,,1543,,,,,0.5845
New York School for Medical and Dental Assistants,0.0549,0.2747,0.6081,0.0586,0,0,0,0,0.0037,0.0549,0.9451,1,3,0.4396,,,,,2,,20216,3833,0.1667,0.8679,,,,,27754,0.5845
Union Theological Seminary in the City of New York,,,,,,,,,,,,4,2,,,,,,2,,,9986,1,,246,,,,,0.5845
State University of New York at New Paltz,0.5926,0.0629,0.2136,0.0526,0.0007,0.001,0.028,0.0207,0.0277,0.3746,0.6254,4,1,0.0789,0.4518,595,590,1192,2,17171,,7373,0.5157,0.5211,950,135,1500,1,47975.5,0.5845
Niagara County Community College,0.7118,0.1274,0.0512,0.0165,0.0154,0.0003,0.0428,0.0059,0.0286,0.4229,0.5771,2,1,0.1727,,,,,2,5491,,8375,1,0.2588,,1426,1500,,36066,0.5845
Niagara University,0.6596,0.0542,0.0459,0.0142,0.0058,0.0011,0.0262,0.1664,0.0266,0.3633,0.6367,4,2,0.1296,0.8921,560,565,1136,2,,20019,8864,1,0.6033,915,61,1250,5,47975.5,0.5845
Empire Beauty School-Peekskill,0.4242,0.1212,0.2727,0,0,0,0,0,0.1818,0.0303,0.9697,1,3,0.3939,,,,,2,,16131,,,0.5577,,,,,27754,0.5845
North Country Community College,0.7445,0.1404,0.0296,0.0022,0.0296,0.0077,0.0143,0.0132,0.0186,0.3893,0.6107,2,1,0.2134,,,,,2,11920,,5718,1,0.1987,,981,1700,,36066,0.5845
New York Institute of Technology,0.2603,0.0975,0.1875,0.1908,0.0027,0.0036,0.0511,0.1505,0.056,0.6123,0.3877,4,2,0.101,0.678,580,603,1191,2,,21427,11644,0.28,0.4962,3536,52,1104,1,47975.5,0.5845
New York School of Interior Design,0.5718,0.0452,0.1383,0.0346,0,0,0.0266,0.1197,0.0638,0.109,0.891,4,2,0.5683,0.2412,,,,2,,44333,,0.0427,0.2593,171,41,1600,2,27754,0.5845
Nyack College,0.1529,0.2988,0.3343,0.0602,0.0089,0.003,0.0325,0.0759,0.0335,0.4497,0.5503,4,2,0.4309,0.9776,480,465,956,2,,19077,6660,0.3318,0.6557,953,14,1000,1,47975.5,0.5845
Ohr Hameir Theological Seminary,0.9438,0,0,0,0,0,0,0.0562,0,1,0,3,2,,0.5,,,,2,,,3886,,0,,,200,3,47975.5,0.5845
Onondaga Community College,0.5883,0.1821,0.0875,0.0389,0.0164,0.0005,0.0456,0.0088,0.0318,0.4833,0.5167,2,1,0.1714,,,,,2,7390,,7200,0.3081,0.2304,,3792,1230,,36066,0.5845
Orange County Community College,0.4637,0.1411,0.306,0.0212,0.0024,0.0017,0.0325,0.0011,0.0303,0.4054,0.5946,2,1,0.212,,,,,2,4660,,7856,0.3468,0.2108,,1757,1500,,36066,0.5845
Otsego Area BOCES-Practical Nursing Program,0.7619,0.1667,0.0238,0,0,0,0.0476,0,0,0.1667,0.8333,1,1,0.6429,,,,,2,14210,,,,0.5806,,,,,27754,0.5845
Pace University,0.49,0.1013,0.1411,0.0751,0.0029,0.0012,0.0443,0.0956,0.0485,0.3754,0.6246,4,2,0.0784,0.7871,575,565,1150,2,,29707,12252,1,0.5079,4867,295,800,1,47975.5,0.5845
Continental School of Beauty Culture-West Seneca,0.7153,0.2014,0.0417,0,0,0,0.0347,0,0.0069,0.0486,0.9514,1,3,0.4931,,,,,2,,15472,,,0.6027,,,,,27754,0.5845
Plaza College,0.1294,0.3193,0.3275,0.12,0,0,0.1037,0,0,0.2075,0.7925,3,3,0.475,0.2994,,,,2,,15927,7921,0.2447,0.8004,,43,1700,3,36066,0.5845
Davis & Elkins College,0.3602,0.0462,0.0264,0.0079,0,0.0013,0.0053,0.0594,0.4934,0.4142,0.5858,3,2,0.0966,0.398,520,510,1044,5,,17388,5759,0.449,0.6759,,18,1324,1,47975.5,0.5845
Pratt Institute-Main,0.356,0.0371,0.0979,0.1322,0.0008,0.0005,0.0341,0.3321,0.0093,0.29,0.71,4,2,0.0457,0.555,625,645,1273,2,,45571,11231,0.1485,0.3973,1392,39,1750,1,47975.5,0.5845
Rabbinical Academy Mesivta Rabbi Chaim Berlin,0.949,0,0,0,0,0,0,0.051,0,1,0,4,2,0.0701,0.94,,,,2,,4225,5329,,0,134,,200,3,47975.5,0.5845
Rabbinical College Bobover Yeshiva Bnei Zion,1,0,0,0,0,0,0,0,0,1,0,4,2,,,,,,2,,4645,3237,,0,34,,300,,47975.5,0.5845
Rabbinical College Beth Shraga,1,0,0,0,0,0,0,0,0,1,0,3,2,,0.84,,,,2,,9690,5369,,0,,1,200,3,47975.5,0.5845
Rabbinical College of Long Island,0.9937,0,0,0,0,0,0,0.0063,0,1,0,3,2,,0.9375,,,,2,,8443,4771,1,0,,,200,3,47975.5,0.5845
Rabbinical Seminary of America,1,0,0,0,0,0,0,0,0,1,0,4,2,0.0149,0.9804,,,,2,,5804,2575,0.9286,0,196,,300,3,47975.5,0.5845
Rensselaer Polytechnic Institute,0.4674,0.0413,0.0975,0.1532,0.0018,0.0005,0.0534,0.1596,0.0255,0.6784,0.3216,4,2,0.0122,0.4741,665,725,1399,2,,35464,12961,0.8766,0.4947,1287,38,1250,1,47975.5,0.5845
Roberts Wesleyan College,0.7291,0.0892,0.0661,0.0199,0.0024,0.0024,0.043,0.047,0.0008,0.3211,0.6789,4,2,0.2753,0.6658,570,575,1143,2,,23569,6652,0.9292,0.6442,487,38,1100,1,47975.5,0.5845
Rochester Institute of Technology,0.6529,0.0435,0.0806,0.1023,0.0012,0.0004,0.041,0.063,0.0151,0.6651,0.3349,4,2,0.0494,0.7073,645,670,1328,2,,33167,10571,0.678,0.5993,2941,690,1098,1,47975.5,0.5845
Rockefeller University,,,,,,,,,,,,4,2,,,,,,2,,,21150,0.9277,,248,,,,,0.5845
Rockland Community College,0.3407,0.1929,0.301,0.059,0.0023,0.0013,0.0194,0.0182,0.0652,0.4762,0.5238,2,1,0.2338,,,,,2,10271,,8733,0.2137,0.0936,,1316,1350,,36066,0.5845
Empire Beauty School-Manhattan,0.0273,0.5682,0.2655,0.0099,0,0,0.0471,0,0.0819,0.0744,0.9256,1,3,0.4739,,,,,2,,16429,,,0.5699,,,,,27754,0.5845
Russell Sage College,0.6011,0.1114,0.0961,0.0481,0.0061,0.0038,0.0389,0.013,0.0816,0.2189,0.7811,4,2,0.1314,0.8501,,,,2,,23337,6290,0.8511,0.8915,1116,21,1200,3,47975.5,0.5845
St Bernard's School of Theology and Ministry,,,,,,,,,,,,4,2,,,,,,2,,,4822,,,68,,,,,0.5845
St Bonaventure University,0.7403,0.0582,0.0683,0.0358,0.005,0.0011,0.0213,0.0325,0.0375,0.5322,0.4678,4,2,0.0203,0.7502,565,570,1135,2,,22663,6442,0.6623,0.8032,578,39,800,1,47975.5,0.5845
St. Joseph's College of Nursing,0.7596,0.0623,0.0148,0.0475,0.0059,0,0.0267,0,0.0831,0.1128,0.8872,2,2,0.362,0.75,,,,2,,,7551,0.84,0.8628,,,2000,2,36066,0.5845
Lawrence University,0.607,0.0604,0.1032,0.0596,0.0035,0.0014,0.0393,0.1221,0.0035,0.4589,0.5411,3,2,0.0076,0.6208,650,665,1324,3,,22214,8196,0.8667,0.5065,,17,900,5,47975.5,0.5845
The College of Saint Rose,0.5413,0.1814,0.0585,0.0282,0.0033,0.0008,0.1225,0.0295,0.0345,0.3421,0.6579,4,2,0.0481,0.8747,,,,2,,22754,8005,0.5185,0.7276,1571,24,1200,3,47975.5,0.5845
St. Thomas Aquinas College,0.4983,0.1115,0.2352,0.0253,0.0017,0,0.0148,0.0636,0.0497,0.5096,0.4904,4,2,0.039,0.8058,515,510,1028,2,,20274,9350,0.3611,0.3673,140,649,1250,1,47975.5,0.5845
Samaritan Hospital School of Nursing,0.8309,0.0882,0.0147,0.0662,0,0,0,0,0,0.1618,0.8382,2,2,0.7059,0.8333,,,,2,,21429,7421,,0.7385,,,1800,3,36066,0.5845
Sarah Lawrence College,0.61,0.0418,0.0909,0.0462,0.0007,0,0.0506,0.1136,0.0462,0.2515,0.7485,4,2,0.0077,0.531,680,651,1344,2,,36422,10153,0.3467,0.5021,237,69,600,5,47975.5,0.5845
Schenectady County Community College,0.5513,0.1934,0.1021,0.0757,0.0108,0.0069,0.026,0.0039,0.0299,0.4232,0.5768,2,1,0.2137,,,,,2,5717,,5702,1,0.2028,,2421,1200,,36066,0.5845
Sh'or Yoshuv Rabbinical College,0.9568,0,0,0,0,0,0,0.0432,0,1,0,3,2,0.0432,0.6667,,,,2,,,5324,0.8387,0,9,,300,3,47975.5,0.5845
Siena College,0.775,0.0334,0.0849,0.0451,0.0019,0.0003,0.0261,0.0283,0.0051,0.4313,0.5687,4,2,0.0295,0.8112,,,,2,,27479,8872,0.6388,0.6726,108,42,1293,2,47975.5,0.5845
Skidmore College,0.618,0.051,0.0944,0.0566,0,0,0.0525,0.1065,0.0211,0.4047,0.5953,4,2,0.0056,0.3005,655,655,1330,2,,27197,10114,0.8147,0.2894,1,13,1300,5,47975.5,0.5845
St. Joseph's College-New York,0.3557,0.1752,0.2613,0.0546,0.0042,0.0031,0.0315,0.0462,0.0682,0.3494,0.6506,4,2,0.2008,0.7124,550,540,1095,2,,16360,9073,1,0.5557,224,8,1000,1,47975.5,0.5845
St. Joseph's College-Long Island,0.6342,0.0451,0.1659,0.0224,0.0037,0.001,0.0194,0.001,0.1075,0.3097,0.6903,4,2,0.2091,0.7299,555,564,1127,2,,17036,9059,1,0.5797,937,26,1000,1,47975.5,0.5845
Saint Vladimirs Orthodox Theological Seminary,,,,,,,,,,,,4,2,,,,,,2,,,6442,0.3571,,85,,,,,0.5845
Saint Elizabeth College of Nursing,0.8564,0.0166,0.011,0.0718,0,0,0.0276,0.0166,0,0.105,0.895,2,2,0.3646,0,,,,2,,,8053,1,0.8274,,,1750,2,36066,0.5845
St Paul's School of Nursing-Staten Island,0.393,0.2759,0.1421,0.0284,0,0.005,0.0318,0,0.1237,0.1371,0.8629,2,3,0.6605,,,,,2,,25322,6902,0.2,0.6604,,,1100,,36066,0.5845
St. John's University-New York,0.4174,0.1428,0.1458,0.1592,0.0042,0.0018,0.0514,0.0451,0.0323,0.4361,0.5639,4,2,0.0176,0.7234,595,600,1202,2,,27130,12500,0.4406,0.3684,4632,5397,656,5,47975.5,0.5845
Sullivan County Community College,0.3762,0.2179,0.27,0.0149,0.0009,0.0019,0.0391,0.0177,0.0615,0.4637,0.5363,2,1,0.1873,,,,,2,8613,,6400,0.3804,0.2549,,554,1450,,36066,0.5845
SUNY College of Technology at Alfred,0.7263,0.133,0.0915,0.0125,0.0029,0.0011,0.0293,0.0035,0,0.6266,0.3734,3,1,0.132,0.6674,525,530,1063,2,16630,,5720,0.7066,0.704,,20,1200,1,36066,0.5845
SUNY College of Technology at Canton,0.6578,0.1331,0.113,0.0131,0.0156,0.0003,0.0264,0.0159,0.0248,0.4416,0.5584,3,1,0.2538,0.8462,505,510,1022,2,13864,,6718,0.5905,0.7242,,82,1300,1,47975.5,0.5845
SUNY College of Technology at Delhi,0.5794,0.1668,0.1678,0.0189,0.0047,0.0003,0.027,0.0034,0.0317,0.4604,0.5396,4,1,0.2287,0.7203,515,505,1025,2,14867,,6216,0.6457,0.5815,87,32,1300,1,36066,0.5845
SUNY College of Agriculture and Technology at Cobleskill,0.6956,0.1142,0.1156,0.0159,0.0036,0.0005,0.0318,0.0132,0.0096,0.4595,0.5405,3,1,0.0847,0.5372,500,495,1007,2,16647,,6789,0.7211,0.5931,,69,1200,1,47975.5,0.5845
Farmingdale State College,0.5263,0.0948,0.2332,0.0943,0.0023,0.0016,0.0267,0.0173,0.0035,0.5846,0.4154,4,1,0.1869,0.5489,530,540,1076,2,8638,,8392,0.3223,0.2924,57,539,1300,1,47975.5,0.5845
SUNY Morrisville,0.6102,0.2446,0.0849,0.0104,0.0038,0.0004,0.028,0.0108,0.0069,0.4662,0.5338,3,1,0.1744,0.7485,485,480,976,2,19350,,6178,0.5959,0.6832,,177,1600,1,36066,0.5845
SUNY at Albany,0.4356,0.1921,0.1765,0.0854,0.0022,0.0008,0.0363,0.0499,0.0213,0.4832,0.5168,4,1,0.0588,0.5425,585,585,1177,2,18577,,9870,0.5963,0.5729,4258,133,1000,1,47975.5,0.5845
Binghamton University,0.5795,0.0468,0.1194,0.1468,0.0005,0.0003,0.0288,0.065,0.0131,0.4977,0.5023,4,1,0.0239,0.4053,665,695,1370,2,19353,,9973,0.6954,0.4346,3959,9,1000,1,47975.5,0.5845
University at Buffalo,0.4754,0.084,0.0731,0.1547,0.0035,0.0007,0.0222,0.1403,0.046,0.5616,0.4384,4,1,0.0568,0.6108,610,640,1254,2,18194,,10735,0.6373,0.4684,10002,161,1203,1,47975.5,0.5845
Stony Brook University,0.3029,0.0683,0.127,0.2716,0.0006,0.0006,0.0262,0.1392,0.0637,0.5051,0.4949,4,1,0.0682,0.4415,640,695,1337,2,15160,,12149,0.6125,0.365,8905,142,900,1,47975.5,0.5845
SUNY College of Environmental Science and Forestry,0.7785,0.0193,0.0613,0.037,0.0022,0.0011,0.0271,0.0287,0.0448,0.521,0.479,4,1,0.0618,0.6954,605,605,1217,2,19737,,8875,0.7097,0.4696,397,2,1200,1,47975.5,0.5845
SUNY Polytechnic Institute,0.7106,0.0717,0.0847,0.0823,0.0024,0.0029,0.0265,0.0164,0.0024,0.6856,0.3144,4,1,0.1548,0.6902,575,605,1182,2,13809,,9610,0.4658,0.4681,790,139,1400,1,47975.5,0.5845
SUNY Brockport,0.6958,0.1155,0.0796,0.022,0.0015,0.0006,0.0272,0.0075,0.0503,0.4271,0.5729,4,1,0.1323,0.5474,545,555,1101,2,15882,,7566,0.5523,0.6637,1251,49,1016,1,47975.5,0.5845
SUNY Cortland,0.7214,0.0632,0.1337,0.0124,0.0022,0.0005,0.022,0.0059,0.0387,0.4356,0.5644,4,1,0.0315,0.4604,575,585,1162,2,18705,,6798,0.5535,0.6634,539,14,1000,5,47975.5,0.5845
SUNY at Fredonia,0.7153,0.0906,0.1023,0.0176,0.0062,0.0005,0.0331,0.0193,0.015,0.4294,0.5706,4,1,0.0327,0.7112,555,540,1099,2,14824,,7139,0.5655,0.7095,225,27,1200,1,47975.5,0.5845
SUNY College at Geneseo,0.7738,0.03,0.0843,0.0488,0.0008,0.0013,0.0247,0.0112,0.0252,0.3777,0.6223,4,1,0.017,0.6547,605,610,1217,2,18924,,7659,0.638,0.5074,104,25,1000,1,47975.5,0.5845
SUNY Oneonta,0.7029,0.0495,0.1558,0.0202,0.0069,0.0007,0.0208,0.0051,0.038,0.3819,0.6181,4,1,0.018,0.5604,540,540,1094,2,17470,,6958,0.6038,0.5959,464,18,1200,1,47975.5,0.5845
SUNY College at Oswego,0.6814,0.1038,0.1276,0.0244,0.0036,0.0003,0.0328,0.0256,0.0004,0.495,0.505,4,1,0.0673,0.5405,580,575,1158,2,15665,,7110,0.643,0.6516,910,39,1000,1,47975.5,0.5845
SUNY College at Potsdam,0.6363,0.1227,0.1444,0.0196,0.0137,0.0007,0.0318,0.0036,0.0272,0.3813,0.6187,4,1,0.049,0.6797,,,,2,13704,,6543,0.7115,0.7368,276,8,900,3,47975.5,0.5845
SUNY at Purchase College,0.5097,0.1228,0.2501,0.0439,0.0018,0.0018,0.0494,0.0159,0.0048,0.4187,0.5813,4,1,0.0773,0.5151,590,570,1180,2,18326,,7520,0.4022,0.5063,106,84,1240,5,47975.5,0.5845
SUNY College of Optometry,,,,,,,,,,,,4,1,,,,,,2,,,10558,0.6099,,409,,,,,0.5845
SUNY College at Old Westbury,0.2684,0.2915,0.2704,0.1079,0.0047,0.0024,0.0265,0.0135,0.0147,0.4116,0.5884,4,1,0.194,0.7776,515,520,1035,2,10557,,8807,0.4217,0.3656,317,130,2500,1,47975.5,0.5845
SUNY College at Plattsburgh,0.6285,0.1014,0.1245,0.0261,0.0054,0.0015,0.0163,0.062,0.0344,0.4159,0.5841,4,1,0.1033,0.5848,540,540,1086,2,15845,,7152,0.5826,0.6166,387,77,1320,1,47975.5,0.5845
SUNY Downstate Health Sciences University,0.3956,0.1923,0.1484,0.1923,0,0.0055,0.0165,0,0.0495,0.2033,0.7967,4,1,0.6154,,,,,2,,,11993,0.7589,0.5024,1717,,,,47975.5,0.5845
SUNY Empire State College,0.5603,0.1595,0.1416,0.0253,0.0035,0.002,0.0257,0.0054,0.0767,0.3685,0.6315,4,1,0.7947,,,,,2,12142,,7366,0.2095,0.3265,1345,997,1528,,47975.5,0.5845
SUNY Maritime College,0.6722,0.0503,0.1675,0.0437,0.0007,0,0.0238,0.0132,0.0285,0.8623,0.1377,4,1,0.0598,0.7362,580,595,1184,2,20616,,7639,0.6917,0.4981,152,12,1500,1,47975.5,0.5845
Upstate Medical University,0.7447,0.034,0.0553,0.0511,0,0,0.0085,0.017,0.0894,0.2,0.8,4,1,0.5168,,,,,2,,,7377,0.6874,0.4779,1350,3,,,47975.5,0.5845
Swedish Institute a College of Health Sciences,0.0799,0.4157,0.2663,0.0577,0.003,0,0.0311,0,0.1464,0.2189,0.7811,2,3,0.7227,,,,,2,,33177,5244,0.6946,0.8423,,2,1800,,36066,0.5845
Syracuse University,0.5604,0.065,0.0954,0.0646,0.0057,0.0007,0.0339,0.1459,0.0285,0.4663,0.5337,4,2,0.0299,0.4438,625,655,1291,2,,34482,12051,0.6685,0.4203,7575,421,1536,1,47975.5,0.5845
Talmudical Seminary Oholei Torah,0.883,0,0,0,0,0,0,0.117,0,1,0,3,2,,0.9828,,,,2,,16557,4996,0.7714,0,,,200,3,47975.5,0.5845
Talmudical Institute of Upstate New York,1,0,0,0,0,0,0,0,0,1,0,3,2,,0.8333,,,,2,,,2727,,0,7,,200,3,47975.5,0.5845
Teachers College at Columbia University,,,,,,,,,,,,4,2,,,,,,2,,,14821,0.3785,,4489,,,,,0.5845
Tompkins Cortland Community College,0.6145,0.1255,0.1166,0.0237,0.0016,0.0005,0.0638,0.0174,0.0364,0.4436,0.5564,2,1,0.3277,,,,,2,11584,,7207,0.1787,0.4239,,307,1100,,36066,0.5845
Torah Temimah Talmudical Seminary,1,0,0,0,0,0,0,0,0,1,0,3,2,,0.8333,,,,2,,7300,8255,,0,,,200,3,47975.5,0.5845
Touro College,0.5941,0.1301,0.0938,0.028,0.0014,0.0024,0.0064,0.0372,0.1065,0.3048,0.6952,4,2,0.3865,0.6942,,,,2,,19272,8198,0.4237,0.2663,5942,722,822,2,47975.5,0.5845
Trocaire College,0.6318,0.1963,0.0649,0.0177,0.0135,0,0.0236,0,0.0522,0.1289,0.8711,3,2,0.6188,,,,,2,,15485,7439,0.1748,0.745,,135,1200,,36066,0.5845
Excelsior College,0.6162,0.1735,0.1142,0.0278,0.0055,0.006,0.0381,0.0082,0.0104,0.5069,0.4931,4,2,0.8705,,,,,2,,,,,0.1252,2571,,,,47975.5,0.5845
Ulster County Community College,0.6258,0.0942,0.1824,0.0194,0.0028,0.0006,0.0349,0.0017,0.0382,0.4324,0.5676,2,1,0.1817,,,,,2,4820,,6117,0.5973,0.1117,,1746,1200,,36066,0.5845
United Talmudical Seminary,0.9822,0,0,0,0,0,0,0.0178,0,1,0,3,2,0.0005,,,,,2,,9659,3252,0.4973,0,745,,512,,47975.5,0.5845
United States Merchant Marine Academy,0.7885,0.0149,0.0566,0.0655,0.0089,0.0079,0.0407,0.0079,0.0089,0.7865,0.2135,4,1,0.006,0.2487,610,650,1289,0,6433,,10098,0.8031,0.0622,18,,3000,1,47975.5,0.5845
United States Military Academy,0.6356,0.1223,0.1003,0.0801,0.0083,0.0018,0.0287,0.0132,0.0096,0.7705,0.2295,3,1,0.0119,0.1203,625,645,1284,0,,,9907,1,,,,,1,47975.5,0.5845
Utica College,0.6778,0.096,0.0934,0.0409,0.0044,0.0006,0.0231,0.0083,0.0554,0.4176,0.5824,4,2,0.2632,0.8684,,,,2,,22471,8352,0.3405,0.7227,1459,114,1400,2,47975.5,0.5845
Vassar College,0.5506,0.0372,0.1107,0.1185,0.0004,0,0.0892,0.09,0.0033,0.411,0.589,3,2,0.0135,0.2374,715,730,1452,2,,26208,12358,0.8297,0.4137,,18,900,1,47975.5,0.5845
Villa Maria College,0.5078,0.314,0.0911,0.0136,0.0039,0,0.0562,0.0136,0,0.4225,0.5775,3,2,0.1942,0.7438,,,,2,,12243,4345,0.2128,0.7702,,4,1100,3,47975.5,0.5845
School of Visual Arts,0.1965,0.0353,0.0999,0.1436,0,0,0,0.5057,0.019,0.2835,0.7165,4,3,0.0589,0.7113,590,625,1211,2,,44616,3217,0.4029,0.3271,690,20,1868,1,47975.5,0.5845
Wagner College,0.611,0.0806,0.1297,0.0532,0.0012,0.0006,0.0321,0.0444,0.0473,0.3324,0.6676,4,2,0.0845,0.7074,,,,2,,33307,8333,0.9825,0.5851,419,28,871,2,47975.5,0.5845
Webb Institute,0.8039,0,0.0392,0.0784,0,0,0.0784,0,0,0.7745,0.2255,3,2,0.0098,0.2403,705,760,1465,2,,15684,10047,0.5625,0.1442,,,700,1,47975.5,0.5845
Wells College,0.6126,0.1283,0.1646,0.0194,0.0073,0,0.0315,0.0169,0.0194,0.3487,0.6513,3,2,0.0215,0.8317,555,540,1084,2,,21307,6638,0.717,0.8535,,6,1050,5,47975.5,0.5845
The College of Westchester,0.0797,0.4031,0.4661,0.019,0.0012,0.0012,0.0107,0,0.019,0.3282,0.6718,3,3,0.4305,0.9407,,,,2,,17552,6044,0.3099,0.8144,,65,1000,3,36066,0.5845
SUNY Westchester Community College,0.2725,0.1967,0.4241,0.0352,0.0024,0.0015,0.0209,0.0149,0.0318,0.4868,0.5132,2,1,0.2849,,,,,2,8050,,10369,0.2238,0.0665,,1243,2400,,36066,0.5845
Westchester School of Beauty Culture,0.2083,0.4444,0.2917,0.0278,0,0,0,0.0278,0,0.0278,0.9722,1,3,0.5556,,,,,2,,9504,,,0.2816,,,,,27754,0.5845
Word of Life Bible Institute,0.6981,0.0245,0.0774,0.017,0,0.0019,0.017,0.1321,0.0321,0.4038,0.5962,1,2,0.0321,,,,,2,,10709,,,0.5372,,,273,,27754,0.5845
Yeshiva Karlin Stolin,1,0,0,0,0,0,0,0,0,1,0,3,2,,0.7895,,,,2,,8971,6876,,0,,,200,3,47975.5,0.5845
Yeshiva Derech Chaim,0.8652,0,0,0,0,0,0,0.1348,0,1,0,4,2,0.0562,0.6585,,,,2,,7213,5845,0.6522,0,44,,200,3,47975.5,0.5845
Yeshiva of Nitra Rabbinical College,0.949,0,0,0,0,0,0,0.051,0,1,0,4,2,0.0051,,,,,2,,4884,2393,0.92,0,30,,300,,47975.5,0.5845
Yeshiva Shaar Hatorah,1,0,0,0,0,0,0,0,0,1,0,3,2,,0.8409,,,,2,,6032,6983,,0,30,,120,3,47975.5,0.5845
Yeshiva University,0.9218,0,0.0011,0,0,0,0.0011,0.066,0.01,0.5354,0.4646,4,2,0.0025,0.5536,645,625,1278,2,,38930,12388,1,0.2394,2528,117,1250,1,47975.5,0.5845
Yeshivath Viznitz,0.9647,0,0,0,0,0,0,0.0353,0,1,0,3,2,,0.8687,,,,2,,7600,2572,0.7143,0,161,,200,3,47975.5,0.5845
Yeshivath Zichron Moshe,0.8956,0,0,0,0,0,0,0.0934,0.011,1,0,3,2,,0.7692,,,,2,,12600,3845,,0,51,,200,3,36066,0.5845
College of the Albemarle,0.6592,0.1599,0.056,0.0073,0.008,0.0007,0.0385,0.0458,0.0247,0.327,0.673,2,1,0.2056,,,,,5,4705,,5462,0.2534,0,,1211,1083,,36066,0.5845
