School,white,black,hispanic,asian,aian,nhpi,tom,ntr,unk,men,women,highest_degree,ownership,over_25,admissions_rate,sat_mid_reading,sat_mid_math,sat_mid_overall,region,avg_cost_public,avg_cost_private,faculy_salary,ft_faculty_rate,federal_loan_rate,grad_students,undergrads_non_degree_seeking,booksupply_cost,test_requirements,ten_yrs_after_entry_earnings,completion_rate
Paul Mitchell the School-Houston,0.2847,0.3086,0.3397,0.0335,0.0096,0.0024,0.0096,0.0024,0.0096,0.0598,0.9402,1,3,0.4354,,,,,6,,17218,,,0.6203,,,,,27754,0.5845
Fortis Institute-Forty Fort,0.6071,0.131,0.2024,0.0119,0,0,0.0357,0,0.0119,0.6071,0.3929,2,3,0.5357,,,,,2,,16166,4102,,0.6909,,,600,,27754,0.5845
Laurel Business Institute,0.9205,0.0586,0,0,0.0084,0,0.0084,0,0.0042,0.3431,0.6569,2,3,0.3583,0.9145,,,,2,,6367,3292,0.4762,0.681,,1,1226,3,27754,0.5845
Aviation Institute of Maintenance-Philadelphia,0.2507,0.3875,0.2051,0.0171,0.0028,0,0.1054,0.0028,0.0285,0.9174,0.0826,1,3,0.5812,,,,,2,,20640,,,0.75,,,900,,27754,0.5845
Dorsey School of Business-Roseville,0.147,0.7928,0.0048,0.0096,0,0,0.0289,0,0.0169,0.0747,0.9253,1,3,0.6265,,,,,3,,24080,,,0.938,,,,,27754,0.5845
Moler-Pickens Beauty Academy,0.3867,0.4267,0,0.1867,0,0,0,0,0,0.0267,0.9733,1,3,0.3867,,,,,3,,11711,,,0.7736,,,,,27754,0.5845
Red River Technology Center,0.7044,0.0211,0.1286,0.0096,0.0345,0.0019,0.0998,0,0,0.5413,0.4587,1,1,0.0595,,,,,6,3233,,,,0,,,,,27754,0.5845
Southern Union State Community College,0.6939,0.2327,0.0288,0.0151,0.0025,0.0002,0.0198,0.0022,0.0047,0.4396,0.5604,2,1,0.1856,,,,,5,8493,,5995,0.3094,0.1969,,624,1400,,27754,0.5845
Clinton Technical School,0.9412,0.0588,0,0,0,0,0,0,0,0,1,1,1,0.4118,,,,,4,15389,,,,0.7907,,,,3,27754,0.5845
Greene County Career and Technology Center,0.8889,0.1111,0,0,0,0,0,0,0,0,1,1,1,0.5,1,,,,2,14465,,,,0.8788,,,,3,27754,0.5845
Lac Courte Oreilles Ojibwe College,0.2297,0.0709,0,0,0.6993,0,0,0,0,0.3007,0.6993,2,1,0.6962,,,,,3,6867,,5301,0.7042,0,,43,1500,,36066,0.5845
Diesel Driving Academy-Shreveport,0.0675,0.8528,0.0123,0.0061,0,0,0.0613,0,0,0.8098,0.1902,1,3,0.6748,,,,,5,,13713,,,0.4803,,,,,27754,0.5845
Pima Medical Institute-Mesa,0.5012,0.0584,0.2862,0.0397,0.0502,0.0023,0.0584,0,0.0035,0.2547,0.7453,2,3,0.5993,,,,,6,,20360,5590,0.5446,0.3079,,,,,27754,0.5845
Platt College-Los Angeles,0.1197,0.044,0.6107,0.1169,0.0028,0.0124,0.044,0,0.0495,0.2462,0.7538,3,3,0.5254,,,,,8,,22710,5810,0.2099,0.6702,,,1104,,27754,0.5845
Platt College-Aurora,0.5927,0.0605,0.2016,0.0766,0.004,0.004,0.0524,0,0.0081,0.1613,0.8387,3,3,0.7056,0.125,,,,7,,37134,6083,0.3043,0.8536,,,2633,2,47975.5,0.5845
Paul Mitchell the School-Boise,0.2745,0,0.0588,0.0039,0,0.0118,0.0118,0,0.6392,0.0667,0.9333,1,3,0.4039,,,,,7,,18064,,,0.5345,,,,,27754,0.5845
Educators of Beauty College of Cosmetology-Rockford,0.5686,0.2745,0.1373,0.0196,0,0,0,0,0,0.0196,0.9804,1,3,0.2549,,,,,3,,11753,,,0.6373,,,,,27754,0.5845
Aveda Institute-Chicago,0.4167,0.213,0.1667,0.0278,0,0.0093,0.0741,0,0.0926,0.0463,0.9537,1,3,0.4074,,,,,3,,25660,,,0.4721,,,,,27754,0.5845
