Age,Race,Sex,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade2,High school graduate,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree
35 to 39 years,White,Male,8131,26,44,141,112,154,120,283,2203,1228,380,416,1974,773,115,163
40 to 44 years,White,Male,7296,33,48,137,126,115,125,205,2045,1074,390,375,1683,698,98,143
45 to 49 years,White,Male,7940,20,54,107,121,111,118,257,2337,1201,382,416,1725,787,144,161
50 to 54 years,White,Male,8170,19,45,145,130,127,145,247,2535,1226,375,397,1778,683,123,194
55 to 59 years,White,Male,8583,24,61,142,149,117,129,297,2785,1327,419,453,1748,626,147,161
60 to 64 years,White,Male,7662,21,39,130,103,86,81,217,2303,1317,351,377,1551,705,183,197
65 to 69 years,White,Male,6729,13,36,94,102,82,87,177,1762,1175,298,363,1431,724,148,236
70 to 74 years,White,Male,5386,16,33,69,90,105,100,118,1485,893,193,242,1127,540,158,218
75 years and over,White,Male,7530,42,101,122,329,150,196,248,2367,1140,199,288,1235,661,185,269
18 to 24 years,White,Female,10612,39,19,27,53,48,134,1268,2647,4140,255,461,1412,104,4,1
25 to 29 years,White,Female,8276,16,10,32,69,72,105,184,1811,1540,322,605,2635,689,63,123
30 to 34 years,White,Female,7970,11,27,74,103,98,73,180,1698,1188,394,553,2290,996,130,155
35 to 39 years,White,Female,7891,19,39,131,112,149,90,212,1552,1168,374,571,2146,1036,125,170
40 to 44 years,White,Female,7331,17,47,128,92,138,93,174,1689,1034,348,485,1880,967,103,136
45 to 49 years,White,Female,7965,30,27,127,122,139,87,185,1909,1150,370,635,1960,932,142,149
50 to 54 years,White,Female,8268,14,58,141,84,105,101,179,2315,1278,408,676,1888,804,115,103
55 to 59 years,White,Female,8910,13,44,89,91,94,115,291,2670,1459,455,618,1858,890,99,125
60 to 64 years,White,Female,8450,23,71,140,93,103,103,165,2579,1428,456,603,1649,801,93,145
65 to 69 years,White,Female,7306,33,52,89,111,92,108,166,2216,1191,371,489,1286,901,85,116
70 to 74 years,White,Female,5894,22,54,73,129,85,105,134,1988,1065,229,280,969,629,50,83
75 years and over,White,Female,10147,48,131,158,366,188,313,364,4179,1717,369,422,1142,606,74,71
18 to 24 years,Hispanic,Male,3350,4,17,28,27,38,89,593,1191,1047,66,121,120,4,0,3
25 to 29 years,Hispanic,Male,2546,8,13,75,51,77,66,132,902,527,73,152,391,66,10,2
30 to 34 years,Hispanic,Male,2272,19,35,126,70,116,60,174,763,337,78,101,307,69,2,15
35 to 39 years,Hispanic,Male,2335,27,53,150,93,117,56,211,771,310,67,102,274,77,18,7
40 to 44 years,Hispanic,Male,1976,29,55,141,101,89,64,117,728,216,65,66,205,74,14,12
45 to 49 years,Hispanic,Male,1867,25,50,102,78,96,61,130,631,267,62,60,212,65,15,15
50 to 54 years,Hispanic,Male,1618,15,45,139,79,67,39,103,513,230,56,43,187,61,20,20
55 to 59 years,Hispanic,Male,1312,14,68,143,78,46,46,75,388,161,37,45,150,43,7,11
60 to 64 years,Hispanic,Male,1038,14,42,119,47,43,24,54,292,155,31,36,137,29,10,9
65 to 69 years,Hispanic,Male,747,11,37,80,53,30,11,61,198,101,19,38,75,23,4,5
70 to 74 years,Hispanic,Male,438,13,27,52,19,12,10,18,114,66,5,17,43,27,8,6
